keyword,kw_match_type,campaign,ad_group,ref_tag,kw_clicks,kw_report_cost,regs,st_total_clicks,st_total_cost,search_term_count,cpa_kw_report,reg_status
"""bulk products""",Phrase match,AU_Generic,Bulk_Products_Phrase,pd_sl_au_pv_299285812002_y174297846890,1499,11011.12,0,692,4900.41,598,,ZERO_REGS
"""cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Products_Phrase,"pd_sl_AU_pv_jan_18766890_y175435632142#cle-jan",780,3610.84,0,404,1854.6,316,,ZERO_REGS
"""bulk distributor""",Phrase match,AU_Generic,Bulk_Distributors_Phrase,pd_sl_au_pv_337951420549_y174297847890,252,2372.4,0,129,1157.69,105,,ZERO_REGS
"""wholesaler au""",Phrase match,AU_Generic,Wholesalers_Phrase,pd_sl_au_pv_2414608852288_y174297844770,250,2173.77,0,111,879.77,93,,ZERO_REGS
"""bulk goods""",Phrase match,AU_Generic,Bulk_Products_Phrase,pd_sl_au_pv_333620479893_y174297846890,304,1942.8,0,176,1116.15,157,,ZERO_REGS
"""professional beauty products""",Phrase match,AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,"pd_sl_AU_pv_bea_298184915175_y178961839416#sal-spa",328,1854.75,0,180,1040.4,143,,ZERO_REGS
"""buy bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,pd_sl_au_pv_336355103_y174297845210,311,1801.7,0,156,890.32,133,,ZERO_REGS
"""bulk packaging""",Phrase match,AU_Generic,Bulk_Products_Phrase,pd_sl_au_pv_50912850_y174297846890,243,1607.78,0,92,577.08,82,,ZERO_REGS
"""products in large quantities""",Phrase match,AU_Generic,Bulk_Products_Phrase,pd_sl_au_pv_1436375072575_y174297846890,241,1574.29,0,108,651.5,94,,ZERO_REGS
"""bulk cleaning""",Phrase match,AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,pd_sl_AU_pv_jan_300396336366_y175435632622,205,1555.05,0,66,473.72,58,,ZERO_REGS
"""industrial cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,"pd_sl_AU_pv_jan_320048234114_y175435632902#cle-jan",206,1473.23,0,78,533.83,67,,ZERO_REGS
"""purchasing bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,pd_sl_au_pv_385663524221_y174297845210,213,1437.12,0,102,684.53,92,,ZERO_REGS
"""bulk seller""",Phrase match,AU_Generic,Bulk_Sellers_Phrase,pd_sl_au_pv_652598426550_y174297843810,119,1345.53,0,56,591.42,50,,ZERO_REGS
"""bulk paper products""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Bulk,pd_sl_AU_pv_jan_297648532021_y175435636782,209,1245.96,0,113,663.53,80,,ZERO_REGS
"""bags distributors""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,pd_sl_au_pv_app_486994016522_y179602182153,246,1205.04,0,99,478.83,83,,ZERO_REGS
"""wholesale purchases""",Phrase match,AU_Generic,Wholesales_Buy_Phrase,pd_sl_au_pv_302229253132_y174297845650,155,1204.47,0,84,624.81,76,,ZERO_REGS
"""wholesaler traders""",Phrase match,AU_Generic,Wholesalers_Enterprises_Phrase,pd_sl_au_pv_1436375073575_y174297844450,146,1192.7,0,62,499.38,59,,ZERO_REGS
"""clothing wholesalers""",Phrase match,AU_Generic_P-V_Shops,Wholesale_Clothing,pd_sl_AU_pv_sho_295385703302_y179602105593,119,1112.84,0,70,648.41,61,,ZERO_REGS
