campaign,keywords,total_regs,total_cost,converting_cost,zero_reg_cost,pct_wasted
AU_Generic,92,0,41733.13,0.0,41733.13,100.0
AU_Generic_P-V_Food,275,103,25496.24,14225.3,11270.94,44.2
AU_Generic_P-V_Janitorial,121,0,16889.38,0.0,16889.38,100.0
AU_Brand_Phrase,17,83,13773.62,13207.41,566.21,4.1
AU_Generic_P-V_Apparel,137,0,11963.68,0.0,11963.68,100.0
AU_Brand_Exact,45,440,10617.7,9377.95,1239.75,11.7
AU_Generic_P-V_Beauty,88,9,8375.06,1152.12,7222.94,86.2
AU_Generic_P-V_Shops,63,0,8028.25,0.0,8028.25,100.0
AU_Generic_P-V_Office,46,0,6192.1,0.0,6192.1,100.0
AU_Generic_P-V_Electronics,48,1,3906.54,14.12,3892.42,99.6
AU_Generic_P-V_Hospitality,26,0,2235.28,0.0,2235.28,100.0
AU_Generic_P-V_Celebrations,18,10,889.22,673.6,215.62,24.2
AU_Generic_P-V_Materials,6,0,434.29,0.0,434.29,100.0
AU_Generic_P-V_Crafts,15,0,402.38,0.0,402.38,100.0
AU_Generic_P-V_Industrial,10,0,187.44,0.0,187.44,100.0
AU_Generic_P-V_Safety,4,0,162.17,0.0,162.17,100.0
AU_Generic_P-V_Industry,2,0,93.09,0.0,93.09,100.0
AU_Generic_P-V_Gym,2,0,5.29,0.0,5.29,100.0
AU_Generic_P-V_Pets,1,0,1.61,0.0,1.61,100.0
