keyword,kw_match_type,campaign,ad_group,ref_tag,kw_clicks,kw_report_cost,regs,st_total_clicks,st_total_cost,search_term_count,cpa_kw_report,reg_status
"""bulk cups""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,pd_sl_AU_pv_foo_312588111050_y173370686130,183,1012.41,2,73,377.14,57,506.21,HAS_REGS
"""bulk drinks""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_155086809_y173370685170,130,393.9,1,74,233.11,62,393.9,HAS_REGS
"""bulk buy sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,pd_sl_AU_pv_foo_3454124304_y173370688050,100,385.63,1,66,261.98,51,385.63,HAS_REGS
"""foodstuffs wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,pd_sl_AU_pv_foo_1870721568950_y173370688530,71,377.15,1,28,137.4,23,377.15,HAS_REGS
"""amazon business au""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,pd_sl_au_brand_phrase_827808610064_y182824218927,117,1110.6,3,27,179.63,11,370.2,HAS_REGS
"""foods wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,pd_sl_AU_pv_foo_383976782815_y173370685610,159,740.15,2,67,292.38,59,370.08,HAS_REGS
"""bulk bath products""",Phrase match,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,pd_sl_AU_pv_bea_359926722937_y178961840576,57,281.38,1,30,148.17,26,281.38,HAS_REGS
"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,pd_sl_au_brand_phrase_373588144049_y182824219087,49,561.33,2,23,213.64,16,280.67,HAS_REGS
"""amazon business account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,pd_sl_au_brand_phrase_32475936916_y182824219127,181,2206.76,8,66,685.86,44,275.85,HAS_REGS
"""bulk herbs""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_10127251_y173370685170,58,266.68,1,34,158.06,30,266.68,HAS_REGS
"""bakery box suppliers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Suppliers_Phrase,pd_sl_AU_pv_foo_354992661347_y173370686330,22,254.27,1,9,92.39,8,254.27,HAS_REGS
[amazon business au],Exact match,AU_Brand_Exact,Pure_Exact,pd_sl_au_brand_core_825772595656_x182824221527,54,476.04,2,35,250.77,8,238.02,HAS_REGS
[amazon business information],Exact match,AU_Brand_Exact,Navigation_Exact,pd_sl_au_brand_core_413943788105_x182824221567,23,236.84,1,19,198.06,7,236.84,HAS_REGS
"""bulk fresh foods""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_1436450656930_y173370685170,37,231.44,1,19,110.21,19,231.44,HAS_REGS
"""amazon business information""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,pd_sl_au_brand_phrase_487064728054_y182824219167,77,673.79,3,20,156.63,17,224.6,HAS_REGS
[amazon business account cost],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_381759531551_x182824221487,20,216.63,1,16,155.68,11,216.63,HAS_REGS
"""amazon prime business""",Phrase match,AU_Brand_Phrase,Prime_Phrase,pd_sl_au_brand_phrase_382550438527_y182824219087,62,829.02,4,22,254.29,19,207.26,HAS_REGS
"""drinks wholesaler""",Phrase match,AU_Generic_P-V_Food,Wholesalers_Food_Phrase,pd_sl_AU_pv_foo_374553731404_y173370688490,37,205.94,1,21,116.55,18,205.94,HAS_REGS
"""bulk take out boxes""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,pd_sl_AU_pv_foo_354992663947_y173370686130,118,609.44,3,40,204.54,30,203.15,HAS_REGS
"""amazon business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,pd_sl_au_brand_phrase_1802041673_y182824218927,79,600.58,3,33,160.1,17,200.19,HAS_REGS
"""buy bulk sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,pd_sl_AU_pv_foo_295679152696_y173370688050,220,775.98,4,129,449.38,97,194.0,HAS_REGS
"""jars wholesale""",Phrase match,AU_Generic_P-V_Food,Plates_Wholesale_Phrase,pd_sl_AU_pv_foo_494642135_y173370687330,87,384.42,2,50,227.92,42,192.21,HAS_REGS
"""bulk oils""",Phrase match,AU_Generic_P-V_Food,Condiments_Bulk_Phrase,pd_sl_AU_pv_foo_330368993924_y173370683730,42,168.1,1,26,99.52,18,168.1,HAS_REGS
"""bottles wholesale""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,pd_sl_AU_pv_foo_297851839330_y173370685090,135,657.25,4,63,311.71,51,164.31,HAS_REGS
"""wholesale soft drinks""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,pd_sl_AU_pv_foo_303684835891_y173370685090,57,327.43,2,27,155.65,20,163.72,HAS_REGS
[amazon business account benefits],Exact match,AU_Brand_Exact,Account_Exact,pd_sl_au_brand_core_342260079596_x182824221487,20,162.5,1,17,132.79,7,162.5,HAS_REGS
"""bulk trays""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,pd_sl_AU_pv_foo_320544528714_y173370687090,26,160.62,1,2,13.17,2,160.62,HAS_REGS
"""wholesale glassware""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,pd_sl_AU_pv_foo_299990629803_y173370684650,98,629.39,4,43,271.64,37,157.35,HAS_REGS
"""wholesale foods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,pd_sl_AU_pv_foo_296136790011_y173370685570,114,466.98,3,64,253.74,57,155.66,HAS_REGS
"""amazon business delivery""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,pd_sl_au_brand_phrase_322112036565_y182824219167,32,306.85,2,11,80.97,7,153.43,HAS_REGS
"""bulk fruit""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_296504565485_y173370685170,25,150.49,1,11,70.01,11,150.49,HAS_REGS
"""drinks wholesale market""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,pd_sl_AU_pv_foo_2269516802760_y173370688530,101,586.44,4,54,307.65,40,146.61,HAS_REGS
"""bulk buy food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_298850182490_y173370685170,262,729.32,5,149,411.13,107,145.86,HAS_REGS
[business prime duo],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_1280864456576_x182824221727,14,143.72,1,13,130.38,8,143.72,HAS_REGS
"""bulk nail polish""",Phrase match,AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,pd_sl_AU_pv_bea_300640519119_y178961839096,22,142.88,1,14,91.65,7,142.88,HAS_REGS
"""coffee wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,pd_sl_AU_pv_foo_300519070492_y173370685610,32,142.58,1,11,45.87,10,142.58,HAS_REGS
"""amazon company account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,pd_sl_au_brand_phrase_396660574738_y182824219127,93,1098.97,8,31,305.09,19,137.37,HAS_REGS
"""bulk skin care products""",Phrase match,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,pd_sl_AU_pv_bea_354393519254_y178961840576,185,677.28,5,73,274.24,58,135.46,HAS_REGS
"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,pd_sl_AU_pv_foo_298330710177_y173370687090,219,1051.04,8,115,534.5,73,131.38,HAS_REGS
"""amazon au business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,pd_sl_au_brand_phrase_2263004745042_y182824218927,48,391.68,3,27,137.78,7,130.56,HAS_REGS
