<!-- DOC-0102 | duck_id: callout-ww-summary-2026-w12 -->

# WW — W12 (Mar 15–21)

WW drove 15.8K registrations (-4% WoW), with -9% spend WoW. CPA improved to $72 (-5% WoW). March is projected to end at $5.2M spend and 67.8K registrations. (vs. OP2: flat spend, +11% registrations)

WoW the decline was concentrated in Brand (-7%) while NB held relatively steady (-2%). Eight of ten markets declined, with only UK (+1%) and US (flat) avoiding a dip. The steepest drops came from DE (-18%, though overstated by data lag), MX (-16%, CVR normalization after W11's spike plus Benito Juarez holiday), and JP (-16%, returning to post-MHLW baseline with fiscal year-end suppression). EU5 saw a broad pullback consistent with mid-March seasonality, as last year's W12 showed similar directional declines across the region. Brand declined in all five EU5 markets, the clearest cross-market signal. Spend fell faster than registrations across most markets, meaning CPA improved WoW in 8 of 10 markets. The efficiency trajectory is the positive signal underneath the volume softness.

YoY we spent +17% with +46% registrations (excluding AU, which has no prior year data). NB drove the bulk of the growth at +73% YoY, powered by OCI in US and UK and bid strategy efficiency gains in MX and CA. Brand grew +21% YoY. NB CPA compression continues to be the structural story: US NB CPA down 47% YoY, MX NB CPA down 50% YoY, CA NB CPA down 46% YoY.

Note: DE's -18% WoW is unreliable due to Fri/Sat data lag (32 avg regs vs 236 weekday avg). Adjusted, the true WW decline is likely closer to -2% to -3%. March is tracking +11% regs vs OP2 at matched spend, with US (+14%), MX (+68%), ES (+19%), and UK (+17%) leading the overperformance. JP is the only market tracking below OP2 on regs (-14%), a structural MHLW gap compounded by fiscal year-end.

| Market | Regs | WoW   | Spend | CPA  | YoY Regs | Proj Regs | vs OP2 |
| ------ | ---- | ----- | ----- | ---- | -------- | --------- | ------ |
| US     | 8.3K | flat  | $599K | $72  | +76%     | 34.9K     | +14%   |
| CA     | 698  | -7%   | $53K  | $76  | +53%     | 3.0K      | +16%   |
| UK     | 1.4K | +1%   | $90K  | $65  | +95%     | 6.1K      | +17%   |
| DE     | 1.2K | -18%* | $138K | $111 | -9%      | 6.1K      | flat   |
| FR     | 1.2K | -3%   | $61K  | $52  | +14%     | 5.0K      | +5%    |
| IT     | 1.3K | -12%  | $78K  | $61  | +4%      | 5.7K      | +2%    |
| ES     | 657  | -8%   | $33K  | $50  | +20%     | 2.9K      | +19%   |
| JP     | 443  | -16%  | $37K  | $82  | +4%      | 2.0K      | -14%   |
| AU     | 240  | flat  | $28K  | $117 | N/A      | 1.0K      | -4%    |
| MX     | 330  | -16%  | $20K  | $61  | +90%     | 1.4K      | +68%   |

*DE data lag on Fri/Sat. True decline likely -2% to -5%.
