Market	Segment	Month	Clicks	Cost	CPC	Impressions	CTR	Regs	CPA
AU	Brand	2025-06	10118	26874.69	2.66	52150	0.1940	0	0.00
AU	Brand	2025-07	5359	25240.55	4.71	37561	0.1427	0	0.00
AU	Brand	2025-08	4951	23337.95	4.71	33707	0.1469	14	1667.00
AU	Brand	2025-09	5069	21823.10	4.31	32092	0.1580	415	52.59
AU	Brand	2025-10	5037	17215.35	3.42	26887	0.1873	331	52.01
AU	Brand	2025-11	5333	17428.12	3.27	25048	0.2129	492	35.42
AU	Brand	2025-12	4692	14630.77	3.12	22769	0.2061	467	31.33
AU	Brand	2026-01	3693	15815.93	4.28	18342	0.2013	254	62.27
AU	NB	2025-06	3520	16513.37	4.69	44907	0.0784	0	0.00
AU	NB	2025-07	9361	59059.57	6.31	127554	0.0734	0	0.00
AU	NB	2025-08	10857	67440.42	6.21	144774	0.0750	6	11240.07
AU	NB	2025-09	9402	57430.44	6.11	135250	0.0695	275	208.84
AU	NB	2025-10	9309	52804.15	5.67	120592	0.0772	256	206.27
AU	NB	2025-11	8454	42506.37	5.03	99261	0.0852	257	165.39
AU	NB	2025-12	3944	14543.47	3.69	41824	0.0943	124	117.29
AU	NB	2026-01	5715	28515.88	4.99	64080	0.0892	139	205.15
AU	Other	2025-06	9068	53653.68	5.92	165110	0.0549	0	0.00
AU	Other	2025-07	18227	119248.50	6.54	303433	0.0601	0	0.00
AU	Other	2025-08	21082	130328.81	6.18	311026	0.0678	14	9309.20
AU	Other	2025-09	24812	120913.93	4.87	333161	0.0745	544	222.27
AU	Other	2025-10	25636	109963.55	4.29	313919	0.0817	373	294.81
AU	Other	2025-11	25132	104705.87	4.17	273487	0.0919	573	182.73
AU	Other	2025-12	12289	41385.13	3.37	121588	0.1011	251	164.88
AU	Other	2026-01	11855	43587.44	3.68	124098	0.0955	204	213.66
CA	Brand	2019-10	57	55.99	0.98	313	0.1821	0	0.00
CA	Brand	2019-11	1102	1135.87	1.03	7793	0.1414	0	0.00
CA	Brand	2019-12	878	808.21	0.92	6400	0.1372	0	0.00
CA	Brand	2020-01	1133	920.95	0.81	7935	0.1428	0	0.00
CA	Brand	2020-02	892	710.13	0.80	6269	0.1423	0	0.00
CA	Brand	2020-03	825	1405.75	1.70	6829	0.1208	0	0.00
CA	Brand	2020-05	2501	2475.65	0.99	11767	0.2125	0	0.00
CA	Brand	2020-06	6015	5582.97	0.93	29675	0.2027	0	0.00
CA	Brand	2020-07	6011	4573.69	0.76	30022	0.2002	0	0.00
CA	Brand	2020-08	5670	3089.34	0.54	27853	0.2036	0	0.00
CA	Brand	2020-09	4986	2807.62	0.56	23677	0.2106	0	0.00
CA	Brand	2020-10	5229	2906.09	0.56	21624	0.2418	0	0.00
CA	Brand	2020-11	5626	3000.33	0.53	22469	0.2504	0	0.00
CA	Brand	2020-12	12099	12018.88	0.99	81770	0.1480	0	0.00
CA	Brand	2021-01	14270	10373.87	0.73	84723	0.1684	0	0.00
CA	Brand	2021-02	8942	6286.96	0.70	48762	0.1834	0	0.00
CA	Brand	2021-03	14549	10331.02	0.71	63807	0.2280	0	0.00
CA	Brand	2021-04	17223	14094.25	0.82	85252	0.2020	0	0.00
CA	Brand	2021-05	19124	17877.69	0.93	96646	0.1979	0	0.00
CA	Brand	2021-06	19315	17305.50	0.90	95106	0.2031	0	0.00
CA	Brand	2021-07	15565	14854.57	0.95	85278	0.1825	0	0.00
CA	Brand	2021-08	19066	18128.14	0.95	87687	0.2174	124	146.19
CA	Brand	2021-09	19248	17948.18	0.93	88198	0.2182	665	26.99
CA	Brand	2021-10	18409	19728.80	1.07	92716	0.1986	689	28.63
CA	Brand	2021-11	17979	19095.81	1.06	98269	0.1830	669	28.54
CA	Brand	2021-12	16851	20166.12	1.20	100482	0.1677	445	45.32
CA	Brand	2022-01	21123	21232.17	1.01	128360	0.1646	689	30.82
CA	Brand	2022-02	19821	19904.80	1.00	428346	0.0463	572	34.80
CA	Brand	2022-03	22857	21366.86	0.93	348932	0.0655	889	24.03
CA	Brand	2022-04	22871	21179.44	0.93	253792	0.0901	809	26.18
CA	Brand	2022-05	22207	28309.45	1.27	189448	0.1172	941	30.08
CA	Brand	2022-06	24183	30209.29	1.25	368951	0.0655	1134	26.64
CA	Brand	2022-07	24663	29313.66	1.19	292848	0.0842	992	29.55
CA	Brand	2022-08	26498	32330.25	1.22	365213	0.0726	921	35.10
CA	Brand	2022-09	26272	32018.24	1.22	559009	0.0470	853	37.54
CA	Brand	2022-10	31875	31702.47	0.99	387705	0.0822	1215	26.09
CA	Brand	2022-11	27233	29551.03	1.09	93425	0.2915	974	30.34
CA	Brand	2022-12	20088	25913.76	1.29	71229	0.2820	663	39.09
CA	Brand	2023-01	25209	32296.32	1.28	90754	0.2778	1021	31.63
CA	Brand	2023-02	23014	30329.73	1.32	80303	0.2866	815	37.21
CA	Brand	2023-03	24549	31520.33	1.28	81995	0.2994	824	38.25
CA	Brand	2023-04	24324	31488.06	1.29	76122	0.3195	871	36.15
CA	Brand	2023-05	24326	31385.92	1.29	78095	0.3115	1048	29.95
CA	Brand	2023-06	24231	30264.48	1.25	76591	0.3164	1085	27.89
CA	Brand	2023-07	28244	32787.55	1.16	88024	0.3209	1176	27.88
CA	Brand	2023-08	27191	32124.50	1.18	92884	0.2927	1191	26.97
CA	Brand	2023-09	32468	36747.61	1.13	105584	0.3075	1352	27.18
CA	Brand	2023-10	33241	43375.35	1.30	108931	0.3052	1392	31.16
CA	Brand	2023-11	33516	39843.73	1.19	96998	0.3455	1278	31.18
CA	Brand	2023-12	27832	35511.67	1.28	75409	0.3691	1233	28.80
CA	Brand	2024-01	39144	47721.34	1.22	104440	0.3748	1735	27.51
CA	Brand	2024-02	39985	53757.53	1.34	103826	0.3851	1824	29.47
CA	Brand	2024-03	39866	47085.34	1.18	85547	0.4660	1824	25.81
CA	Brand	2024-04	41113	42135.44	1.02	77733	0.5289	1718	24.53
CA	Brand	2024-05	41876	44050.44	1.05	84175	0.4975	1564	28.17
CA	Brand	2024-06	39196	44197.72	1.13	91964	0.4262	1471	30.05
CA	Brand	2024-07	47979	68229.37	1.42	119425	0.4018	1519	44.92
CA	Brand	2024-08	42257	70259.66	1.66	100589	0.4201	1335	52.63
CA	Brand	2024-09	43117	62623.68	1.45	95815	0.4500	1486	42.14
CA	Brand	2024-10	48735	67120.13	1.38	100869	0.4832	1799	37.31
CA	Brand	2024-11	49538	68439.40	1.38	102266	0.4844	1695	40.38
CA	Brand	2024-12	42369	63533.32	1.50	92104	0.4600	1328	47.84
CA	Brand	2025-01	49141	72868.91	1.48	103681	0.4740	1641	44.41
CA	Brand	2025-02	39601	61857.19	1.56	84703	0.4675	1269	48.74
CA	Brand	2025-03	42603	66059.50	1.55	100118	0.4255	1295	51.01
CA	Brand	2025-04	43530	64514.54	1.48	122859	0.3543	1703	37.88
CA	Brand	2025-05	45440	76170.98	1.68	143110	0.3175	1695	44.94
CA	Brand	2025-06	43383	71046.97	1.64	138512	0.3132	1640	43.32
CA	Brand	2025-07	45347	85939.77	1.90	146026	0.3105	1666	51.58
CA	Brand	2025-08	42753	80225.31	1.88	143575	0.2978	1379	58.18
CA	Brand	2025-09	51171	88258.04	1.72	164254	0.3115	1536	57.46
CA	Brand	2025-10	49919	74099.56	1.48	156442	0.3191	1710	43.33
CA	Brand	2025-11	52353	76751.29	1.47	155746	0.3361	1893	40.54
CA	Brand	2025-12	48335	84592.69	1.75	166293	0.2907	1783	47.44
CA	Brand	2026-01	33702	66425.48	1.97	112775	0.2988	1053	63.08
CA	NB	2019-10	433	709.15	1.64	9527	0.0454	0	0.00
CA	NB	2019-11	16949	37215.83	2.20	358860	0.0472	0	0.00
CA	NB	2019-12	13239	28345.99	2.14	281157	0.0471	0	0.00
CA	NB	2020-01	13712	25157.35	1.83	299088	0.0458	0	0.00
CA	NB	2020-02	9861	20781.75	2.11	213557	0.0462	0	0.00
CA	NB	2020-03	9107	16862.37	1.85	212554	0.0428	0	0.00
CA	NB	2020-05	52398	83439.07	1.59	710023	0.0738	0	0.00
CA	NB	2020-06	84681	103659.60	1.22	1195334	0.0708	0	0.00
CA	NB	2020-07	172176	172343.86	1.00	2411619	0.0714	0	0.00
CA	NB	2020-08	178873	169417.65	0.95	2997137	0.0597	0	0.00
CA	NB	2020-09	101238	94004.52	0.93	2094571	0.0483	0	0.00
CA	NB	2020-10	163310	259446.39	1.59	3348301	0.0488	0	0.00
CA	NB	2020-11	140516	229917.05	1.64	2606997	0.0539	0	0.00
CA	NB	2020-12	122253	197644.43	1.62	2221524	0.0550	0	0.00
CA	NB	2021-01	131013	228004.74	1.74	2358896	0.0555	0	0.00
CA	NB	2021-02	104749	238070.46	2.27	1830155	0.0572	0	0.00
CA	NB	2021-03	120729	290601.09	2.41	2103748	0.0574	0	0.00
CA	NB	2021-04	144235	313427.75	2.17	2310512	0.0624	0	0.00
CA	NB	2021-05	167748	359649.01	2.14	2836594	0.0591	0	0.00
CA	NB	2021-06	160927	390499.37	2.43	2965024	0.0543	0	0.00
