=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
6: 	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1		
7: Values																												
8: Sum of Cost	4487.74	5713.75	8624.97	11859.86	20720.23	34648.58	55149.18	57028.71	64370.51	69402.61	86410.03	104220.3	109437.15	125876.33	124722.77	132499.08	132095.12	164774.32	135536.49	206937.46	202354.38	203694.07	215417.48	261015.2	246216.74	69654.11		
9: Sum of Clicks	6796	8943	8852	17731	25872	46560	62231	61488	61187	70933	75080	84916	102345	99843	102340	113205	105264	129840	127224	144730	151254	140336	142048	152750	167883	36960		
10: Sum of EFID RefMarker Reg(CT+VT)	0	0	0	0	0	0	0	839	2138	2367	3055	2981	3588	3558	4037	4504	4182	5692	4924	4598	5102	4430	5282	4879	5711	1104		
11: Sum of CPA (EFID-Ref)	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	67.97	30.11	29.32	28.28	34.96	30.5	35.38	30.89	29.42	31.59	28.95	27.53	45.01	39.66	45.98	40.78	53.5	43.11	63.09		
12: Sum of REF_Registrations_2(CT+VT)	0	881.73	383	603.4	780.75	1831.59	2559	2401.94	2561.57	4282.65	3026.8	3258.75	3506.03	6308.4	4085.67	4672.96	4119.83	8226.6	4216.23	4196.32	4158.48	7242.9	4976	4730	5063	1093		
13: Sum of CPA (RefReg2)	#DIV/0!	6.48	22.52	19.66	26.54	18.92	21.55	23.74	25.13	16.21	28.55	31.98	31.21	19.95	30.53	28.35	32.06	20.03	32.15	49.31	48.66	28.12	43.29	55.18	48.63	63.73		
14: Sum of Reg	0	881.73	383	603.4	780.75	1831.59	2559	1620.47	2349.78	3324.82	3040.9	3119.88	3547.02	4933.2	4061.34	4588.48	4150.91	6959.3	4570.11	4397.16	4630.24	5836.45	5129	4804.5	5387	1098.5		
15: Sum of CPA (Reg)	#DIV/0!	6.48	22.52	19.66	26.54	18.92	21.55	35.19	27.39	20.87	28.42	33.41	30.85	25.52	30.71	28.88	31.82	23.68	29.66	47.06	43.7	34.9	42.0	54.33	45.71	63.41		
16: Sum of CPC	0.66	0.64	0.97	0.67	0.8	0.74	0.89	0.93	1.05	0.98	1.15	1.23	1.07	1.26	1.22	1.17	1.25	1.27	1.07	1.43	1.34	1.45	1.52	1.71	1.47	1.88		
19: Campaign	(Multiple Items)																											
20: Account	Amazon Business MX																											
21: 	*March launch																											
22: 	Column Labels																											
23: 	2024				2025				2026																			
24: 	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1																			
25: Values																												
26: Sum of Cost	4035.99	29423.06	15054.39	10557.17	8217.53	21225.53	15977.75	20254.66	6058.72																			
27: Sum of Clicks	3883	25455	30840	31771	27187	28908	25414	37385	7851																			
28: Sum of EFID RefMarker Reg(CT+VT)	197	1243	1350	1498	1118	1399	990	1925	341																			
29: Sum of CPA (EFID-Ref)	20.49	23.67	11.15	7.05	7.35	15.17	16.14	10.52	17.77																			
30: Sum of Reg	197	1243	1350	1498	1118	1399	990	1925	341																			
31: Sum of CPA (Reg)	20.49	23.67	11.15	7.05	7.35	15.17	16.14	10.52	17.77																			
32: Sum of CPC	1.04	1.16	0.49	0.33	0.3	0.73	0.63	0.54	0.77																			
35: Campaign	(Multiple Items)																											
36: Account	Amazon Business AU																											
37: 	*June launch																											
38: 	Column Labels																											
39: 	2025			2026																								
40: 	Qtr2	Qtr3	Qtr4	Qtr1																								
41: Values																												
42: Sum of Cost	26874.69	70401.6	49274.24	15815.93																								
43: Sum of Clicks	10118	15379	15062	3693																								
44: Sum of EFID RefMarker Reg(CT+VT)	0	429	1290	254																								
45: Sum of CPA (EFID-Ref)	#DIV/0!	164.11	38.2	62.27																								
46: Sum of REF_Registrations_2(CT+VT)	1211	1653	1337	247																								
