,EU5,Campaign,Category,Change (After),Owner,Impact/Reason (Before),,,,
12/14/2023,UK,Mobile Brand campaigns,Campaign and Ad group,Consolidated Mobile and Desktop campaigns and ad groups,Richard,,,,,
12/14/2023,ES,Mobile Brand campaigns,Campaign and Ad group,Consolidated Mobile and Desktop campaigns and ad groups,Richard,,,,,
12/14/2023,FR,Mobile Brand campaigns,Campaign and Ad group,Consolidated Mobile and Desktop campaigns and ad groups,Richard,,,,,
12/19/2023,DE,Mobile Brand campaigns,Campaign only,Consolidated Mobile campaigns into Desktop,Richard,,,,,
12/28/2023,IT,Mobile Brand campaigns,Campaign only,Consolidated Mobile campaigns into Desktop,Richard,,,,,
12/27/2023,ES,All ES Google Campaigns,,Disabled Search Parter,Yun,High cost w/o convs,,,,
12/27/2023,ES,ES - GA 2_Invoice AMZ,,Paused ad group,Yun,High CPA ($1K+) based on 2023 Google Ads data,,,,
12/27/2023,ES,ES - GA 2_Invoice,,Paused ad group,Yun,High CPA ($800+) based on 2023 Google Ads data,,,,
12/26/2023,FR,All FR Google Campaigns,,,Yun,High cost w/o convs,,,,
12/26/2023,IT,All IT Google Campaigns,,,Yun,High cost w/o convs,,,,
12/20/2023,DE,DE - GA 2_Generic AMZ,,Disabled Search Parter,Yun,High cost w/o convs,,,,
12/20/2023,DE,DE - GA - Generic AMZ,,Disabled Search Parter,Yun,High cost w/o convs,,,,
12/20/2023,DE,DE - Generic Wholesaler,,Disabled Search Parter,Yun,High cost w/o convs,,,,
12/20/2023,DE,DE - Generic AMZ,,Added amazon ads as negatives,Yun,High cost w/o convs,,,,
12/26/2023,DE,All DE Google Campaigns,,Disabled Search Parter,Yun,High cost w/o convs,,,,
12/27/2023,UK,UK - Generic AMZ,,Paused +amazon +business +delivery & +amazon +business +shipping,Yun,Spent over $1K w/o convs. High CPA $900+ based on Sept-Dec 2023 data,,,,
12/27/2023,UK,All UK Google Campaigns,,Disabled Search Parter,Yun,High cost w/o convs,,,,
1/2/2024,EU5,Brand Phrase,Negatives,"Added negatives in Brand Phrase that were high impression keywords not applied already, such as amazon associates, amazon affiliate, etc. (dragging down IS)",Richard,,,,,
1/2/2024,EU5,All Brand,Bid strategies,"Increased brand max cpcs for Exact campaigns, and increased CPA targets slightly for Phrase campaigns.",Richard,,,,,
1/3/2024,EU5,All,Shared budgets,Used 2023 January cost to adjust shared budgets for current month. (eliminated limits due to budget),Richard,"Certain campaigns were limited due to budget, and are projected to increase substantially vs. December, so budgets have been increased",,,,
1/3/2024,UK,NB,,Paused broad adgroups with over $600 spend w/o conv based on 2023 data,Yun,High cost w/o convs,,,,
1/3/2024,EU5,All,match type,"Added exact match keyword ad group variations that were missing, and added exact match negatives (only enabled keywords that are in enabled campaign/ad group) to phrase and broad match campaigns",Richard,Many instances of exact match search queries inside of phrase/broad keywords (bid strategy less efficient),,,,
1/3/2024,EU5,All,match type,"Ad group match type consistency (if labeled as exact, then only exact match keywords. If phrase, then phrase, etc)",Richard,Many instances of broad/phrase/exact in ad groups not labeled for its respective match type.,,,,
1/8/2024,EU5,All Brand and NB portfolios,Bid strategies,Increased CPA targets and any existing max CPC for bid strategies,Richard,In anticipation of seasonality increase after holidays.,,,,
1/8/2024,EU5,All campaigns limited,Shared budgets,Increased shared budgets for limited shared budgets.,Richard,"Increasing bid strategies will increase budgets, and we expect more activity after holidays. Will check on budgets throughout week.",,,,
1/9/2024,UK,UK - GA 2_Brand,Audience,Changed audience targeting from observation to tageting since it's a GA campaign,Yun,,,,,
1/11/2024,"DE, IT",Brand campaigns,Bid strategies,Increased CPA target by 2x,Richard,Brand campaigns are still limited by rank.,,,,
1/11/2024,DE,All,Ad Schedule,Removed 4:00 AM - 12:00 AM to run ads all day,Yun,,,,,
1/11/2024,IT,All,Ad Schedule,Removed 4:00 AM - 12:00 AM to run ads all day,Yun,,,,,
1/11/2024,IT,.AMZ,Shared budgets,Increased daily budget for $300 to $400,Yun,,,,,
1/11/2024,UK,All,Ad ,Paused ETA with over $2K spend w/o convs,Yun,,,,,
1/11/2024,FR,All,Ad ,Paused ETA with over $1K spend w/o convs,Yun,,,,,
1/11/2024,IT,.Product-vertical-other,Bid strategies,Increased tCPA from $125 to $140,Yun,,,,,
1/11/2024,UK,Brand (Maximize conversions),Bid strategies,Increased tCPA from $70 > $80,Yun,Bid Limited,,,,
1/11/2024,DE,.Product-Vertical-Other,Bid strategies,Increased tCPA from $250>$270,Yun,,,,,
1/11/2024,IT,Brand,Bid strategies,Changed brand campaign bid strategies to IS bidding.,Richard,From max conversions to IS targeting 90%. (campaigns currently at 45% IS),,,,
1/11/2024,DE,Brand,Bid strategies,Changed brand campaign bid strategies to IS bidding.,Richard,From max conversions to IS targeting 90%. (campaigns currently between 25% to 41% IS),,,,
1/14/2024,IT,.GA (Maximize conversions),Bid strategies,Increaed tCPA from $200>$240,Yun,,,,,
1/14/2024,FR,.Product-Vertical-Other,Shared  budgets,Incresed from $850>$1600,Yun,Avoid campaigns limited by budget,,,,
1/14/2024,UK,Brand Core (Target impression share),Bid strategies,95%>96%,Yun,,,,,
1/14/2024,UK,Brand (Maximize conversions),Bid strategies,$80>$90,Yun,,,,,
1/14/2024,UK,GA_Product (Maximize conversions),Bid strategies,$140>$155,Yun,,,,,
1/14/2024,UK,.Generic (Maximize conversions),Bid strategies,$165>$175,Yun,,,,,
1/14/2024,UK,.AMZ (Maximize conversions),Bid strategies,$125>$135,Yun,,,,,
1/14/2024,UK,.Product-Vertical-Other (Maximize conversions),Bid strategies,$140>$150,Yun,,,,,
1/14/2024,ES,.RLSA,Shared budgets,$1500>$600,Yun,High spend w/o convs ,,,,
1/14/2024,ES,.Product-Vertical-Other,Shared budgets,$500>$1500,Yun,,,,,
1/14/2024,ES,.Product-Vertical-Other,Bid strategies,$75>$90,Yun,,,,,
1/14/2024,IT,.AMZ,Shared budgets,$400>$1500,Yun,,,,,
1/14/2024,IT,.AMZ,Bid strategies,$125>$135,Yun,,,,,
1/14/2024,IT,.GA,Shared budgets,$5500>,Yun,,,,,
1/15/2024,UK,All,Ad Schedule,Removed 4:00 AM - 12:00 AM to run ads all day,Yun,,,,,
1/15/2024,UK,"UK - GA 2_Generic, UK - GA 2_Generic AMZ,UK - GA 2_Invoice AMZ,UK - Generic,UK - Invoice",Keyword Added,Added target exact as phrase in the related phrase ad groups,Yun,Active phrase adgroups w/o keywords,,,,
1/15/2024,UK,.Product-Vertical-Other (Maximize conversions),Bid strategies,$150>$160,Yun,,,,,
1/14/2024,ES,.RLSA,Shared budgets,$600>$300,Yun,High spend w/o convs ,,,,
1/16/2024,FR/IT/ES,.RLSA,Shared budgets,Decreased to $250/day,Richard,,,,,
1/16/2024,UK/DE,.RLSA,Shared budgets,Decreased to $500/day,Richard,,,,,
1/16/2024,EU5,.RLSA,Bid strategies,"IS target decreased from 98% to 90%
Max CPC decreased from $12 to $5. ",Richard,(ES decreased to $2 because of severity),,,,
1/16/2024,FR,Top spending ad groups,Ad,Paused underperforming ETAs/RSAs in the top spending ad groups,Yun,,,,,
1/16/2024,ES,Top 10 spending ad groups,Ad,Paused underperforming ETAs/RSAs in the top spending ad groups,Yun,,,,,
1/16/2024,UK,UK - Product_Apparel_Broad,Campaign,"Activated campaign
Enabled campaign as Broad (smart bidding)
Added Brand exclusions for consumer amazon brands such as Amazon Jobs, Amazon Fresh, etc and submitted for FBA/Seller/Affiliate)",Richard,,,,,
1/16/2024,UK/FR/ES,.Brand,Bid strategies,Changed from Conversion to IS bid strategy; 95% target.,Richard,,,,,
1/17/2024,UK,UK - Product_Apparel_Broad,Bid strategies,Changed to max conversions bid strategy without a bid cap or target.,Richard,"Changing to max clicks will not allow us to use broad match smart bidding, so I just removed targets and caps.",,,,
1/17/2024,IT,Top spending ad groups,Ad,Paused underperforming ETAs/RSAs in the top spending ad groups,Yun,,,,,
1/17/2024,IT,.Product-vertical-other (Maximize conversions),Bid strategies,Increased tCPA from $200>$260,Yun,,,,,
1/17/2024,IT,.Product-vertical-other,Shared Budget,Increase from $1K to $1.5K,Yun,,,,,
1/17/2024,IT,.GA (Maximize conversions),Bid strategies,Increased tCPA from $240>$300,Yun,,,,,
1/17/2024,IT,.GA,Shared Budget,Increased daily budget to $6.5K,Yun,,,,,
1/17/2024,IT,.AMZ (Maximize conversions),Bid strategies,Increased bid from $125>$135,Yun,,,,,
1/17/2024,UK,GA_Product (Maximize conversions),Bid strategies,Increased tCPA from $155>$170,Yun,,,,,
1/17/2024,UK,.Generic (Maximize conversions),Bid strategies,Increased tCPA from $175>$185,Yun,,,,,
1/17/2024,UK,.Generic (Maximize conversions),Shared Budget,$3.5K>$4K,Yun,,,,,
1/17/2024,DE,Top spending ad groups,Ad,Paused underperforming ETAs/RSAs in the top spending ad groups,Yun,,,,,
1/17/2024,DE,.Product-Vertical-Other,Shared Budget,Increased daily budget from $1.5K to $2K,Yun,,,,,
1/17/2024,IT,.Generic,Shared Budget,Increased daily budget from $1.2K to $2k,Yun,,,,,
1/17/2024,IT,.Brand,Bid strategies,Increased Max CPC from $15 to $20 and shared budget from 2k to 2.5k,Richard,"Budget was maxed today, and IS only around 75%; more room to push",,,,
1/17/2024,UK,.GA,Bid strategies,Consolidated GA Product and GA Vertical bid strategies/budgets,Richard,,,,,
1/17/2024,IT,".Product-vertical-other
.GA",Bid strategies,"Increased CPA target from $250 to $350
Increased CPA target from $250 to $300",Richard,".GA had ~$300 CPA in November, and .Product campaigns had about $400, ",,,,
1/18/24,DE,Brand-IS,Shared Budget,Increased daily budget from $4K > $4.8K,Yun,,,,,
1/18/24,FR,.GA (Maximize conversions),Bid strategies,Increased bid from $145>$185,Yun,,,,,
1/18/24,FR,.Product-Vertical-Other (Maximize conversions),Bid strategies,Increased bid from $145>$185,Yun,,,,,
1/18/24,FR,.AMZ (Maximize conversions),Bid strategies,Increased bid from $70>$80,Yun,,,,,
1/17/2024,UK/FR/IT/ES,Competitors AMZ,Campaign,Replicated this campaign from DE to other markets.,Richard,"Exact match keywords such as Amazon dropshipping, FBA, Merch, etc.",,,,
1/18/2024,FR,Generic,Campaign,Increased from 125 to 150,Richard,Cost/Conversions YoY decrease,,,,
1/19/2024,IT,Brand GA campaigns,Keyword Added,Added missing keywords from the non-GA campaigns to Brand,Richard,,,,,
