WK,Date,MKT,Platform,Cluster,Category/Campaign,Change Note,Pending,Reference,Impact,Owner,
1,1/1/2024,US,G Ads,AVT,Device Consolidation_3_All Dev,"AVT L device consolidation- turn on 44 campaigns to all dev, pause 32 mobile campaigns",,,,,
1,1/1/2024,US,G Ads,AVT,Device Consolidation_3_All Dev,"AVT-L_Device Consolidation; bidding strategy tcpa $120, budget 6500",,,,,
1,1/1/2024,US,G Ads,AVT,Device Consolidation_3_All Dev,Missing Kw_Device Consolidation_Phase 3; enable missing kws,,,,,
1,1/1/2024,US,G Ads,BAU,BAU_Device Consolidation_Final,Create bidding portfolio by combine BAU phase 1 & phase 2; tcpa $105 with budget $9K; expect to spend 11K per day.,,,,,
1,1/1/2024,US,G Ads,AVT,AVT-S D Max Conv,"TCPA $120 to $100, budget $3K to $5K",,,,,
1,1/1/2024,US,G Ads,AVT,AVT-S M/T Max Conv,budget $3K to $6.4K,,,,,
1,1/1/2024,US,G Ads,PB,Pure Broad Set 1,TCPA $130 to $120,,,,,
1,1/1/2024,US,G Ads,PB,Pure Broad Set 2,budget $4k to $6k,,,,,
1,1/1/2024,US,G Ads,PB,Pure Broad Set 3,TCPA $130 to $110; budget $5K to $6k,,,,,
1,1/1/2024,US,G Ads,PB,Pure Broad Set 5,TCPA $130 to $110,,,,,
1,1/1/2024,US,G Ads,AVT,AVT-All & DD,budget $3k to $3.6k,,,,,
1,1/1/2024,US,G Ads,Brand,Brand Core & General BMM,TCPA $80 to $60; AMO CPA is $90+,,,,,
1,1/1/2024,US,G Ads,Brand,Brand Core BMM ES,TCPA $90 to $50; AMO CPA is $100+,,,,,
1,1/1/2024,US,G Ads,Brand,Brand Plus Max Conv,TCPA $130 to $110; AMO CPA is $110+,,,,,
1,1/1/2024,CA,G Ads,AVT,AVT-L,budget $600 to $300,,,,,
1,1/1/2024,CA,G Ads,AVT,AVT-S,budget $1300 to $600,,,,,
1,1/1/2024,CA,G Ads,PB,Pure Broad 1 & 2 &3 Set,"budget $1.8K to $1.5K, TCPA $85 to $80",,,,,
1,1/1/2024,CA,G Ads,PB,"PB 4,5",budget $400 to $200,,,,,
1,1/2/2024,US,G Ads,AVT,AVT-S D Max Conv,TCPA $100 to $110,daily spend trend low,,,,
1,1/2/2024,US,G Ads,PB,Pure Broad Set 1,Budget $9K to $12K,daily spend trend low,,,,
1,1/2/2024,US,G Ads,Brand,Brand: core Eng and [ES],"Paused and labled 8 ""Small Business Month Grants"" ad groups",,,,Katy,
1,1/4/2024,US,Bing Ads,All,All,"Paused 2,201 disapproved ETAs in Bing US, labeled ""Disapproved ETAs 01.04.24"". Total spend in 2023 was $5.96.",,,Clean Up,Katy,
1,1/4/2024,US,G Ads,N/A,N/A,"Updated 8 KWs with duplicate ref tags, mostly under Food Service- [Set 1] and [Set 2]",,,,Katy,
2,1/7/2024,US,G Ads,AVT,AVT-L_Device Consolidation,"TCPA $120 to $110, budget $6.5K to $5K",,,,Stacey,
2,1/7/2024,US,G Ads,AVT,Device Consolidation_4_All Dev,AVT S device consolidation- turn on 14 campaigns to all dev; pause 13 campaigns,,,,Stacey,
2,1/8/2024,US,G Ads,AVT,Device Consolidation_4_All Dev,"AVT-S_Device Consolidation_Phase 4; bidding strategy tcpa $120, budget 5000",,,,Stacey,
2,1/8/2024,US,G Ads,AVT,Device Consolidation_4_All Dev,AVT-S existing bidding portfolio from $5K to $2.5K,,,,Stacey,
2,1/8/2024,CA,G Ads,AVT,NB AVT Large,"tCPA from $90 to $85, spend from $300 to $200",,,,Katy,
2,1/8/2024,US,G Ads,AVT,Device Consolidation_4_All Dev,Missing Kw_Device Consolidation_Phase 4; enable kws,,,,Stacey,
2,1/8/2024,CA,G Ads,AVT,AVT-S Max Conv,TCPA from $85 to $90,,,,Stacey,
2,1/8/2024,US,G Ads,Brand,Brand: Core,Change 246 RSAs LP from homepage to https://business.amazon.com/en/cp/lp,,,,Katy,
3,1/12/2024,CA,G Ads,PB,Pure Broad 1 & 2 &3 Set,"Budget increased from $1,500 to $2,000 as iE%CCP for WK2 at 44%.",,,,Katy,
3,1/15/2024,US,G Ads,AVT,AVT-S_Device Consolidation_Phase 4,TCPA from $120 to $110,,,,Stacey,
3,1/15/2024,US,G Ads,PB,Pure Broad set 5,TCPA from $110 to $100,,,,Stacey,
3,1/15/2024,US,G Ads,PB,Pure Broad set 1,TCPA from $120 to $110,,,,Stacey,
3,1/15/2024,US,G Ads,PB,Pure Broad set 2,TCPA from $110 to $100; budget $6K to $5K,,,,Stacey,
3,1/15/2024,US,G Ads,PB,Pure Broad set 3,TCPA from $110 to $100,,,,Stacey,
3,1/15/2024,US,G Ads,AVT,AVT-L,Budget $5K to $6.5K,,,,Stacey,
3,1/15/2024,US,G Ads,AVT,AVT-S Phase 5,AVT-S_Device Consolidation_Phase 5 created; budget $6K with TCPA $110,,,,Stacey,
3,1/15/2024,US,G Ads,AVT,AVT-S Phase 5,Paused in related mobile campaign,,,,Stacey,
3,1/15/2024,CA,G Ads,PB,Pure Broad 1 & 2 &3 Set,budget 2K to 2.2K,,,,Stacey,
3,1/15/2024,US,G Ads,AVT,AVT-S Phase 5,added missing kws on desktop,,,,Stacey,
3,1/16/2024,"US, CA, JP",All,All,All,"Added negative KWs: ""quicksight"", ""amazon q business"", ""amazon quicksight"", ""amazon q for business""",,,,Katy,
3,1/17/2024,CA,G Ads,AVT,AVT-L Max Conv.,Increased budget from $200 to $300 as performance improved in WK2,,,,Katy,
3,1/18/2024,CA,G Ads,PB,"Pure Broad 1, 2 &3",Increased budget from $2.2k to $2.5k to push spend.,,,,Katy,
3,1/18/2024,JP,G Ads,PMax,JP_PMax,Increased budget from $200 to $400 to push NB spend.,,,,Katy,
3,1/18/2024,JP,G Ads,Core,JP_Brand_Exact_AB指名,Campaign Max CPC limit increased from $12 to $120 to push brand spend.,,,,Katy,
4,1/21/2024,US,G Ads,AVT,AVT-all & DD Phase 6,AVT-All & DD_Device Consolidation_Phase 6 created; budget keep $2.5K with TCPA $100,,,,Stacey,
4,1/21/2024,US,G Ads,AVT,AVT-all & DD Phase 6,Paused in related mobile campaign,,,,Stacey,
4,1/21/2024,US,G Ads,AVT,AVT-all & DD Phase 6,Missing Kw_Device Consolidation_Phase 6; enable kws,,,,Stacey,
4,1/21/2024,US,G Ads,BAU,BAU,TCPA $105 to $100,,,,Stacey,
4,1/21/2024,US,G Ads,AVT-S,AVT-S_Device Consolidation_Final,"TCPA $110, Budget $10K",,,,Stacey,
4,1/21/2024,US,G Ads,PB,PB set 2,TCPA $100 to $90,,,,Stacey,
4,1/22/2024,JP,"G Ads, Yahoo",Brand,All brand,"FYE promo keywords and sitelinks are enabled, labled ""FYE Promo 01.22.24""",,,,Katy,
4,1/22/2024,CA,G Ads,AVT,AVT-L Max Conv.,Decreased budget from $300 to $200 to pull back as iE%CCP increase in WK3,,,,Katy,
4,1/22/2024,CA,G Ads,PB,Pure Broad 4 & 5,Decreased budget from $200 to $100 to pull back as iE%CCP increase in WK3,,,,Katy,
4,1/22/2024,CA,G Ads,Brand,Brand: Core - [M/T] [EXT],Changed max CPC from $3.4 to $10 as IS only at 82.84%,,,,Katy,
4,1/22/2024,JP,G Ads,NB,JP_PMax,Decreased budget from $400k to $200 as CPA almost $800.,,,,Katy,
4,1/22/2024,JP,G Ads,NB,JP_Discovery,Increased budget from $80 to $150 to push NB spend as CPA efficient at $101,,,,Katy,
4,1/22/2024,JP,Yahoo,Brand,Dynamic-Ads_AB-JP,Pause the campaign as there is no spend since 1/1/23,,,,Katy,
4,1/22/2024,"US, CA",Bing,All,All,Multimedia ads (MMA) bid adjustment lowered from 40% to 20%,,,,Katy,
4,1/22/2024,JP,G Ads,NB,JP_PMax,add CPA cap as $300 in G ads ,,,,Stacey,
4,1/22/2024,JP,G Ads,Brand,JP_Brand_Phrase_D,"separate out from Brand combined bidding strategy. Budget $500, CPA keep as $65; open to all devs",,,,Stacey,
4,1/22/2024,JP,G Ads,Brand,JP_Brand_Phrase_M,Pause due to device consolidation,,,,Stacey,
4,1/22/2024,JP,G Ads,Brand,JP_Brand_Prime,separate out from Brand combined bidding strategy as AMO CPA is much higher than G ads cpa ($140 vs 37); need to pull back on this campaign,,,,Stacey,
4,1/22/2024,JP,G Ads,Brand,.Brand,budget from $1.5K to $1K as separate out prime and phrase campaigns,,,,Stacey,
4,1/22/2024,US,G Ads,Brand,[AVT-L] Brand: Core - [M/T] [BMM],TCPA $100 to $90; budget $200 to $150,,,,Stacey,
4,1/22/2024,JP,G Ads,NB,General - [PHR],"Keep campaign paused prep for percolate LP; enable bulk, wholesale ad groups & pause other ad groups. Chanage bidding from max clicks to max conv. Budget down from $750 to $500",,,,Stacey,
4,1/23/2024,JP,G Ads,NB,General - [PHR],"Campaign enabled and audience setting changed from ""Observation"" to ""Targeting"". Audience include B2B only.",,,,Katy,
4,1/23/2024,JP,Yahoo,Brand,Brand,"Changed bid strategy placement from 'Absolue Top"" to ""Top"" to see if we can push spend and traffic.",,,,Katy,
4,1/23/2024,JP,Yahoo,Brand,JP_Brand2_Scene,"Tax ad group was live at 5PM CT. Labeled ""Enabeled 01.24.24""",,,,Katy,
4,1/23/2024,CA,Bing,Brand,"Brand: Plus - [M/T] [BMM], Brand: Plus - [M/T] [BMM]",Removed msn.com from website exclusion list.,,,,Katy,
4,1/23/2024,CA,Bing,Brand,"Brand: Plus - [M/T] [BMM], Brand: Plus - [M/T] [BMM]","Updated budget ""Hybrid M/T"" from $20 to $34 to push spend.",,,,Katy,
4,1/23/2024,US,G Ads,BAU,BAU,TCPA $100 to $95,try to remove the budget alert showing,,,Stacey,
4,1/23/2024,US,G Ads,AVT,AVT-all & DD Phase 6,Budget $2.5K to $2K as yesterday spend is $3.2K and looks high,,,,Stacey,
4,1/24/2024,JP,"G Ads, Yahoo",Brand,"JP_Brand_Phrase_D, Brand",Brand Discount ad groups enabled in Google and Yahoo.,,,,Katy,
4,1/25/2024,JP,Yahoo,NB,JP_Discovery,"tCPA changed from $40 to $80 since actual G Ads CPA is $150, we need to increase CPA target to push spend.",,,,Katy,
4,1/25/2024,JP,Yahoo,Brand,General - [PHR],"Budget lowered from $500 to $300 and audience setting changed from ""Targeting"" to ""Observation"".",,,,Katy,
