Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
"""bulk products""",Phrase match,AU_Generic,Bulk_Products_Phrase,13444,1499,11011.12,0,7.35,,11.15,0.0
"""cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Products_Phrase,13584,780,3610.84,0,4.63,,5.74,0.0
[amazon business],Exact match,AU_Brand_Exact,Pure_Exact,9954,3630,2722.18,220,0.75,12.37,36.47,6.06
"""business amazon""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,3572,303,2557.79,23,8.44,111.21,8.48,7.59
"""bulk distributor""",Phrase match,AU_Generic,Bulk_Distributors_Phrase,2348,252,2372.4,0,9.41,,10.73,0.0
"""amazon business account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,1810,181,2206.76,8,12.19,275.85,10.0,4.42
"""wholesaler au""",Phrase match,AU_Generic,Wholesalers_Phrase,2284,250,2173.77,0,8.7,,10.95,0.0
"""bulk goods""",Phrase match,AU_Generic,Bulk_Products_Phrase,2942,304,1942.8,0,6.39,,10.33,0.0
"""professional beauty products""",Phrase match,AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,4700,328,1854.75,16,5.65,115.92,6.98,4.88
"""buy bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,2404,311,1801.7,0,5.79,,12.94,0.0
"""amazon for business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,1699,238,1746.23,15,7.34,116.42,14.01,6.3
"""bulk packaging""",Phrase match,AU_Generic,Bulk_Products_Phrase,1890,243,1607.78,0,6.62,,12.86,0.0
"""products in large quantities""",Phrase match,AU_Generic,Bulk_Products_Phrase,1958,241,1574.29,0,6.53,,12.31,0.0
"""bulk cleaning""",Phrase match,AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,3482,205,1555.05,0,7.59,,5.89,0.0
"""industrial cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,5240,206,1473.23,0,7.15,,3.93,0.0
"""purchasing bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,1748,213,1437.12,0,6.75,,12.19,0.0
"""bulk seller""",Phrase match,AU_Generic,Bulk_Sellers_Phrase,1028,119,1345.53,0,11.31,,11.58,0.0
"""bulk paper products""",Phrase match,AU_Generic_P-V_Janitorial,Paper_Bulk,2248,209,1245.96,0,5.96,,9.3,0.0
"""bags distributors""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,1900,246,1205.04,0,4.9,,12.95,0.0
"""wholesale purchases""",Phrase match,AU_Generic,Wholesales_Buy_Phrase,1543,155,1204.47,0,7.77,,10.05,0.0
"""wholesaler traders""",Phrase match,AU_Generic,Wholesalers_Enterprises_Phrase,1548,146,1192.7,0,8.17,,9.43,0.0
"""amazon business portal""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,976,102,1123.81,9,11.02,124.87,10.45,8.82
"""clothing wholesalers""",Phrase match,AU_Generic_P-V_Shops,Wholesale_Clothing,1361,119,1112.84,0,9.35,,8.74,0.0
"""amazon business au""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,1116,117,1110.6,3,9.49,370.2,10.48,2.56
"""shirts distributors""",Phrase match,AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,2107,289,1101.87,0,3.81,,13.72,0.0
"""amazon company account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,1032,93,1098.97,9,11.82,122.11,9.01,9.68
"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,1586,219,1051.04,8,4.8,131.38,13.81,3.65
"""bulk cups""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,1785,183,1012.41,2,5.53,506.21,10.25,1.09
"""wholesale products""",Phrase match,AU_Generic,Wholesales_Products_Phrase,2111,254,1008.03,0,3.97,,12.03,0.0
"""wholesale other""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,2325,238,1006.9,0,4.23,,10.24,0.0
"""professional salon products distributors""",Phrase match,AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,2306,162,985.36,7,6.08,140.77,7.03,4.32
"""purchasing in bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,1446,195,984.95,0,5.05,,13.49,0.0
"""buy janitorial""",Phrase match,AU_Generic_P-V_Janitorial,Purchasing_Phrase,3166,185,969.62,0,5.24,,5.84,0.0
"""wholesale casual""",Phrase match,AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,1835,192,958.74,0,4.99,,10.46,0.0
"""desk equipment""",Phrase match,AU_Generic_P-V_Office,Products_Phrase,2998,197,924.59,0,4.69,,6.57,0.0
"""clothing bulk""",Phrase match,AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,1576,167,853.6,0,5.11,,10.6,0.0
"""wholesale merchandise""",Phrase match,AU_Generic,Wholesales_Products_Phrase,698,84,849.32,0,10.11,,12.03,0.0
"""amazon prime business""",Phrase match,AU_Brand_Phrase,Prime_Phrase,794,62,829.02,4,13.37,207.26,7.81,6.45
