Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
AU_Generic,Bulk_Products_Phrase,20264,2289,16159.58,0,7.06,,11.3,0.0
AU_Brand_Phrase,Pure_ Phrase,7790,801,6601.78,47,8.24,140.46,10.28,5.87
AU_Generic_P-V_Food,Food_Bulk_Phrase,10657,1270,4730.83,21,3.73,225.28,11.92,1.65
AU_Generic,Bulk_Buy_Phrase,6097,785,4637.67,0,5.91,,12.88,0.0
AU_Brand_Exact,Pure_Exact,11702,4219,4270.76,277,1.01,15.42,36.05,6.57
AU_Generic_P-V_Janitorial,Products_Phrase,13584,780,3610.84,0,4.63,,5.74,0.0
AU_Generic,Wholesales_Products_Phrase,4840,576,3581.6,0,6.22,,11.9,0.0
AU_Brand_Phrase,Account_ Phrase,2964,294,3539.19,17,12.04,208.19,9.92,5.78
AU_Brand_Exact,Account_Exact,3391,939,3166.84,124,3.37,25.54,27.69,13.21
AU_Generic,Wholesalers_Phrase,2858,292,2677.53,0,9.17,,10.22,0.0
AU_Generic,Bulk_Distributors_Phrase,2348,252,2372.4,0,9.41,,10.73,0.0
AU_Generic_P-V_Food,Sweets_Bulk_Phrase,4209,517,2154.38,9,4.17,239.38,12.28,1.74
AU_Generic_P-V_Food,Wholesales_Food_Phrase,4205,407,2146.81,7,5.27,306.69,9.68,1.72
AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,3242,409,2113.61,0,5.17,,12.62,0.0
AU_Brand_Phrase,Navigation_Phrase,2561,211,2104.45,14,9.97,150.32,8.24,6.64
AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,4712,330,1860.1,16,5.64,116.26,7.0,4.85
AU_Generic_P-V_Office,Office_Phrase,6425,434,1832.25,0,4.22,,6.75,0.0
AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,6221,278,1819.38,0,6.54,,4.47,0.0
AU_Generic_P-V_Food,Food_Wholesalers_Phrase,3191,348,1747.67,3,5.02,582.56,10.91,0.86
AU_Generic_P-V_Food,Food_Wholesale_Phrase,2706,338,1720.07,5,5.09,344.01,12.49,1.48
AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,2933,403,1712.96,0,4.25,,13.74,0.0
AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,2818,318,1704.6,5,5.36,340.92,11.28,1.57
AU_Brand_Exact,Navigation_Exact,1467,373,1678.26,23,4.5,72.97,25.43,6.17
AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,3515,207,1569.07,0,7.58,,5.89,0.0
AU_Generic_P-V_Janitorial,Paper_Bulk,3091,273,1556.68,0,5.7,,8.83,0.0
AU_Brand_Phrase,Prime_Phrase,1643,123,1528.2,6,12.42,254.7,7.49,4.88
AU_Brand_Exact,Prime_Exact,1247,293,1501.84,17,5.13,88.34,23.5,5.8
AU_Generic_P-V_Janitorial,Purchasing_Phrase,5255,306,1489.28,0,4.87,,5.82,0.0
AU_Generic,Wholesales_Buy_Phrase,1793,188,1415.19,0,7.53,,10.49,0.0
AU_Generic_P-V_Food,Plates_Bulk_Phrase,2136,287,1356.82,9,4.73,150.76,13.44,3.14
AU_Generic,Bulk_Sellers_Phrase,1028,119,1345.53,0,11.31,,11.58,0.0
AU_Generic,Enterprises_Products_Phrase,2016,167,1302.03,0,7.8,,8.28,0.0
AU_Generic_P-V_Electronics,Computers_Phrase,5448,209,1221.73,2,5.85,610.87,3.84,0.96
AU_Generic,Wholesalers_Enterprises_Phrase,1548,146,1192.7,0,8.17,,9.43,0.0
AU_Generic_P-V_Hospitality,Hospitality_Phrase,3170,266,1131.02,0,4.25,,8.39,0.0
AU_Generic_P-V_Shops,Wholesale_Clothing,1446,121,1126.53,0,9.31,,8.37,0.0
AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,2045,259,1091.51,6,4.21,181.92,12.67,2.32
AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,2369,242,1048.14,0,4.33,,10.22,0.0
AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,2306,162,985.36,7,6.08,140.77,7.03,4.32
AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,1540,192,984.68,6,5.13,164.11,12.47,3.13
AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,1791,157,976.43,8,6.22,122.05,8.77,5.1
AU_Generic_P-V_Office,Home-Office_Phrase,2823,213,969.96,0,4.55,,7.55,0.0
AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,1835,192,958.74,0,4.99,,10.46,0.0
AU_Generic_P-V_Shops,Furniture_Phrase,2559,204,935.09,0,4.58,,7.97,0.0
AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,1660,171,931.52,0,5.45,,10.3,0.0
AU_Generic_P-V_Office,Products_Phrase,2998,197,924.59,0,4.69,,6.57,0.0
AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,1793,187,921.19,0,4.93,,10.43,0.0
AU_Generic,Suppliers_Enterprises_Phrase,1087,83,854.89,0,10.3,,7.64,0.0
AU_Generic_P-V_Office,Office-Supplies_Phrase,2555,143,833.17,0,5.83,,5.6,0.0
AU_Generic_P-V_Food,Drinks_Bulk_Phrase,1299,168,811.07,8,4.83,101.38,12.93,4.76
AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,1846,145,809.37,0,5.58,,7.85,0.0
AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,2003,155,783.82,3,5.06,261.27,7.74,1.94
AU_Generic_P-V_Hospitality,Products_Phrase,1636,123,769.1,0,6.25,,7.52,0.0
AU_Generic_P-V_Electronics,Televisions_Phrase,1946,121,748.8,2,6.19,374.4,6.22,1.65
AU_Generic_P-V_Janitorial,Floor-Care_Phrase,2295,156,745.61,0,4.78,,6.8,0.0
AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,1173,103,708.77,0,6.88,,8.78,0.0
AU_Generic_P-V_Electronics,Electronics_Wholesale_Phrase,1337,93,708.69,9,7.62,78.74,6.96,9.68
AU_Generic_P-V_Food,Food_Suppliers_Phrase,1525,150,658.67,2,4.39,329.34,9.84,1.33
AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,712,100,656.51,4,6.57,164.13,14.04,4.0
AU_Generic,Enterprises_Shop_Phrase,1469,90,629.65,0,7.0,,6.13,0.0
AU_Generic,Office Supplies_Exact,945,65,609.69,0,9.38,,6.88,0.0
AU_Generic_P-V_Shops,Bulk_Phrase,1579,107,581.97,0,5.44,,6.78,0.0
AU_Generic,Suppliers_Products_Phrase,860,77,559.21,0,7.26,,8.95,0.0
AU_Generic_P-V_Office,Furniture_Phrase,1929,195,557.09,0,2.86,,10.11,0.0
AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,1424,104,545.6,0,5.25,,7.3,0.0
AU_Generic_P-V_Food,Kitchen Tools_Phrase,1744,139,496.05,5,3.57,99.21,7.97,3.6
AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,953,83,467.7,4,5.63,116.93,8.71,4.82
AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,802,65,424.65,0,6.53,,8.1,0.0
AU_Generic_P-V_Janitorial,Distributors_Phrase,1119,72,417.03,0,5.79,,6.43,0.0
AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,856,66,408.39,0,6.19,,7.71,0.0
AU_Generic_P-V_Food,Plates_Wholesale_Phrase,576,90,401.21,2,4.46,200.61,15.63,2.22
AU_Generic_P-V_Janitorial,Tools_Bulk_Phrase,855,66,388.9,0,5.89,,7.72,0.0
AU_Generic_P-V_Apparel,Hosiery & Socks_Distributors_Phrase,563,71,386.63,0,5.45,,12.61,0.0
AU_Generic,Suppliers_Phrase,731,79,385.58,0,4.88,,10.81,0.0
AU_Generic_P-V_Apparel,Outerwear_Wholesales_Phrase,738,64,380.53,0,5.95,,8.67,0.0
AU_Generic_P-V_Food,Food_Bulk_Exact,704,92,379.44,1,4.12,379.44,13.07,1.09
AU_Generic_P-V_Food,Food_Wholesale_Exact,512,75,375.91,2,5.01,187.96,14.65,2.67
AU_Generic_P-V_Beauty,Nail-Care_Distributors_Phrase,559,67,372.91,2,5.57,186.46,11.99,2.99
AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,679,57,371.37,0,6.52,,8.39,0.0
AU_Generic_P-V_Food,Cultlery_Bulk_Phrase,1004,116,367.63,1,3.17,367.63,11.55,0.86
AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,660,89,365.19,0,4.1,,13.48,0.0
AU_Generic_P-V_Shops,Accessories_Wholesale_Phrase,680,60,362.53,0,6.04,,8.82,0.0
AU_Generic_P-V_Shops,Toys Shop_Wholesale_Phrase,672,68,361.48,0,5.32,,10.12,0.0
AU_Generic,Commercial Customers_Products_Phrase,849,56,355.62,0,6.35,,6.6,0.0
AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,386,47,350.1,0,7.45,,12.18,0.0
AU_Generic_P-V_Electronics,Computers_Distributor_Phrase,624,50,346.0,3,6.92,115.33,8.01,6.0
AU_Generic_P-V_Beauty,Hair-Appliances_Wholesale_Phrase,709,72,340.49,1,4.73,340.49,10.16,1.39
AU_Generic_P-V_Apparel,Outerwear_Bulk_Phrase,630,61,335.66,0,5.5,,9.68,0.0
AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,514,67,334.9,1,5.0,334.9,13.04,1.49
AU_Generic_P-V_Janitorial,Supply_Bulk_Phrase,965,60,332.51,0,5.54,,6.22,0.0
AU_Generic,Purchasing_Enterprises_Phrase,539,45,331.76,0,7.37,,8.35,0.0
AU_Generic_P-V_Materials,Wholesales_Textiles_Phrase,703,63,331.18,0,5.26,,8.96,0.0
AU_Generic_P-V_Food,Wholesales_Food_Exact,498,75,326.48,0,4.35,,15.06,0.0
AU_Generic,Enterprises_Phrase,459,46,319.16,0,6.94,,10.02,0.0
AU_Generic_P-V_Food,Condiments_Bulk_Phrase,610,71,316.06,1,4.45,316.06,11.64,1.41
AU_Generic,B2B_Products_Phrase,470,31,311.52,0,10.05,,6.6,0.0
AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,573,56,305.46,0,5.45,,9.77,0.0
AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,440,61,304.63,0,4.99,,13.86,0.0
AU_Generic_P-V_Apparel,Accessories_Wholesales_Phrase,382,57,303.08,0,5.32,,14.92,0.0
AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,865,54,301.88,0,5.59,,6.24,0.0
AU_Generic,Bulk_Suppliers_Exact,305,30,294.64,0,9.82,,9.84,0.0
AU_Generic_P-V_Shops,Generic_Bulk_Phrase,928,54,278.19,0,5.15,,5.82,0.0
AU_Generic,Distributors_Enterprises_Phrase,461,32,274.26,0,8.57,,6.94,0.0
AU_Generic_P-V_Shops,Accessories_Bulk_Phrase,644,52,270.2,0,5.2,,8.07,0.0
AU_Generic_P-V_Janitorial,Detergent_Bulk_Phrase,745,53,269.66,0,5.09,,7.11,0.0
AU_Generic,Office Supplies_Phrase,502,41,262.14,0,6.39,,8.17,0.0
AU_Generic_P-V_Food,Kitchen Tools_Suppliers_Phrase,135,22,254.27,1,11.56,254.27,16.3,4.55
AU_Generic_P-V_Shops,Toys Shop_Suppliers_Phrase,183,27,235.16,0,8.71,,14.75,0.0
AU_Generic_P-V_Food,Sweets_Bulk_Exact,374,45,233.28,0,5.18,,12.03,0.0
AU_Generic_P-V_Janitorial,Odour_Distributor_Phrase,285,40,227.63,0,5.69,,14.04,0.0
AU_Generic_P-V_Apparel,Shoes_Distributors_Phrase,339,43,222.46,0,5.17,,12.68,0.0
AU_Generic_P-V_Shops,Electronics_Bulk_Phrase,504,39,221.82,0,5.69,,7.74,0.0
AU_Generic_P-V_Food,Plates_Phrase,646,46,219.21,0,4.77,,7.12,0.0
AU_Generic_P-V_Office,Stationery_Phrase,1056,60,215.12,0,3.59,,5.68,0.0
AU_Generic_P-V_Shops,Suppliers_Clothing_Phrase,477,33,212.79,0,6.45,,6.92,0.0
AU_Generic_P-V_Food,Kitchen Tools_Exact,655,65,211.26,2,3.25,105.63,9.92,3.08
AU_Generic_P-V_Food,Wholesalers_Food_Phrase,322,37,205.94,1,5.57,205.94,11.49,2.7
AU_Generic,Enterprises_Products_Exact,227,27,205.12,0,7.6,,11.89,0.0
AU_Generic_P-V_Electronics,Computers_Exact,835,33,203.32,1,6.16,203.32,3.95,3.03
AU_Generic_P-V_Janitorial,Detergent_Distributor_Phrase,449,38,203.14,0,5.35,,8.46,0.0
AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Phrase,318,56,201.62,0,3.6,,17.61,0.0
AU_Generic_P-V_Janitorial,Products_Exact,561,41,200.95,0,4.9,,7.31,0.0
AU_Generic,B2B_Marketplace_Phrase,467,27,200.34,0,7.42,,5.78,0.0
AU_Generic,Bulk_Buy_Exact,289,29,197.97,0,6.83,,10.03,0.0
AU_Generic_P-V_Food,Kitchen Tools_Wholesale_Phrase,341,52,195.96,0,3.77,,15.25,0.0
AU_Generic_P-V_Janitorial,Floor-Care_Exact,551,32,192.58,0,6.02,,5.81,0.0
AU_Generic_P-V_Crafts,Professional-Tools_Wholesale_Phrase,228,34,189.83,0,5.58,,14.91,0.0
AU_Generic,B2B_Enterprise_Phrase,144,14,187.78,0,13.41,,9.72,0.0
AU_Generic,Procurement_Distributors_Phrase,147,13,186.2,0,14.32,,8.84,0.0
AU_Generic_P-V_Janitorial,Products_Bulk_Exact,278,27,185.42,0,6.87,,9.71,0.0
AU_Generic_P-V_Food,Cultlery_Wholesalers_Phrase,245,34,179.22,2,5.27,89.61,13.88,5.88
AU_Generic_P-V_Food,Food_Wholesalers_Exact,264,35,174.51,0,4.99,,13.26,0.0
AU_Generic_P-V_Janitorial,Waste_Bulk_Phrase,562,32,173.2,0,5.41,,5.69,0.0
AU_Generic_P-V_Apparel,Accessories Baby_Suppliers_Phrase,307,41,172.57,0,4.21,,13.36,0.0
AU_Generic_P-V_Hospitality,Products_Wholesale_Phrase,308,30,168.0,0,5.6,,9.74,0.0
AU_Generic_P-V_Shops,Toys Shop_Distributors_Phrase,307,43,166.46,0,3.87,,14.01,0.0
AU_Generic_P-V_Janitorial,Industrial-Chemicals_Bulk_Phrase,402,29,166.11,0,5.73,,7.21,0.0
AU_Generic_P-V_Celebrations,Party_Suppliers_Phrase,277,26,161.46,2,6.21,80.73,9.39,7.69
AU_Generic_P-V_Food,Serving Line_Phrase,412,18,159.28,0,8.85,,4.37,0.0
AU_Generic,B2B_Wholesales_Phrase,149,25,155.27,0,6.21,,16.78,0.0
AU_Generic_P-V_Food,Drinks_Bulk_Exact,222,28,155.26,1,5.55,155.26,12.61,3.57
AU_Generic_P-V_Safety,Equipment-Gear_Phrase,448,38,148.58,0,3.91,,8.48,0.0
AU_Generic_P-V_Janitorial,Purchasing_Exact,460,25,147.38,0,5.9,,5.43,0.0
AU_Generic_P-V_Shops,Clothing_Bulk_Exact,288,25,147.18,0,5.89,,8.68,0.0
AU_Generic_P-V_Shops,Pet Shop_Distributors_Phrase,170,21,146.38,0,6.97,,12.35,0.0
AU_Generic_P-V_Electronics,Cell-Phones_Phrase,311,25,142.15,1,5.69,142.15,8.04,4.0
AU_Generic_P-V_Shops,Wholesalers_Gifts_Phrase,259,29,136.55,0,4.71,,11.2,0.0
AU_Generic_P-V_Office,Sellers_Phrase,251,18,136.28,0,7.57,,7.17,0.0
AU_Generic_P-V_Beauty,Hair-Appliances_Bulk_Phrase,221,23,135.98,0,5.91,,10.41,0.0
AU_Generic_P-V_Crafts,Professional-Tools_Phrase,379,30,135.62,0,4.52,,7.92,0.0
AU_Generic_P-V_Office,Paper_Wholesale_Phrase,188,18,133.88,0,7.44,,9.57,0.0
AU_Generic_P-V_Celebrations,Wholesale_Phrase,257,28,128.99,2,4.61,64.5,10.89,7.14
AU_Generic_P-V_Food,Condiments_Suppliers_Phrase,228,30,126.38,0,4.21,,13.16,0.0
AU_Generic_P-V_Janitorial,Industrial-Chemicals_Exact,452,15,121.79,0,8.12,,3.32,0.0
