Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,Action
"""bulk products""",Phrase match,AU_Generic,Bulk_Products_Phrase,6233,652,3690.67,0,5.66,,"HIGH — $500+ spend, zero regs"
"""bulk goods""",Phrase match,AU_Generic,Bulk_Products_Phrase,1793,182,1066.98,0,5.86,,"HIGH — $500+ spend, zero regs"
"""wholesaler traders""",Phrase match,AU_Generic,Wholesalers_Enterprises_Phrase,1084,98,812.88,0,8.29,,"HIGH — $500+ spend, zero regs"
"""products in large quantities""",Phrase match,AU_Generic,Bulk_Products_Phrase,1032,125,739.12,0,5.91,,"HIGH — $500+ spend, zero regs"
"""cleaning products""",Phrase match,AU_Generic_P-V_Janitorial,Products_Phrase,2682,172,725.72,3,4.22,241.91,CPA above $200
"""buy bulk""",Phrase match,AU_Generic,Bulk_Buy_Phrase,1121,142,719.94,0,5.07,,"HIGH — $500+ spend, zero regs"
"""bulk distributor""",Phrase match,AU_Generic,Bulk_Distributors_Phrase,820,82,649.71,0,7.92,,"HIGH — $500+ spend, zero regs"
"""wholesaler au""",Phrase match,AU_Generic,Wholesalers_Phrase,744,81,607.94,0,7.51,,"HIGH — $500+ spend, zero regs"
"""wholesale products""",Phrase match,AU_Generic,Wholesales_Products_Phrase,1163,139,504.82,0,3.63,,"HIGH — $500+ spend, zero regs"
"""amazon business information""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,820,51,495.96,2,9.72,247.98,CPA above $200
"""wholesale other""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,926,112,467.45,0,4.17,,"MEDIUM — $100+ spend, zero regs"
"""buy bulk sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,1167,126,454.58,2,3.61,227.29,CPA above $200
"""bulk packaging""",Phrase match,AU_Generic,Bulk_Products_Phrase,650,80,443.42,0,5.54,,"MEDIUM — $100+ spend, zero regs"
"""amazon company account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,426,40,424.86,3,10.62,141.62,CPC above $10
"""wholesale foods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,804,89,402.31,2,4.52,201.16,CPA above $200
"""desk equipment""",Phrase match,AU_Generic_P-V_Office,Products_Phrase,1244,86,385.77,1,4.49,385.77,CPA above $200
"""bags distributors""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,694,86,383.48,0,4.46,,"MEDIUM — $100+ spend, zero regs"
"""buy janitorial""",Phrase match,AU_Generic_P-V_Janitorial,Purchasing_Phrase,1219,59,330.68,0,5.6,,"MEDIUM — $100+ spend, zero regs"
"""business cards business""",Phrase match,AU_Generic_P-V_Office,Office-Supplies_Phrase,910,53,319.47,1,6.03,319.47,CPA above $200
"""clothing bulk""",Phrase match,AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,563,65,317.4,0,4.88,,"MEDIUM — $100+ spend, zero regs"
"""wholesale equipment""",Phrase match,AU_Generic,Wholesales_Products_Phrase,389,52,316.75,0,6.09,,"MEDIUM — $100+ spend, zero regs"
