Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
Total: Account,,,,,280678,29936,151386.52,5.06,,,Zero-Reg KW
Total: Search,,,,,280678,29936,151386.52,5.06,,,Zero-Reg KW
Total: Search terms,,,,,147945,17908,76185.18,4.25,,,Zero-Reg KW
Total: Other search terms,,,,,132733,12018,75136.78,6.25,,,Zero-Reg KW
amazon business,[amazon business],Exact match,AU_Brand_Exact,Pure_Exact,9324,3530,1946.01,0.55,220,12.37,Converting KW
amazon business australia,[amazon business australia],Exact match,AU_Brand_Exact,Pure_Exact,1137,446,694.64,1.56,51,13.62,Converting KW
amazon business account,[amazon business account],Exact match,AU_Brand_Exact,Account_Exact,1756,583,557.09,0.96,85,8.22,Converting KW
business cards,[business cards],Exact match,AU_Generic,Office Supplies_Exact,432,24,222.26,9.26,0,,Zero-Reg KW
what is amazon business,[amazon business],Exact match (close variant),AU_Brand_Exact,Pure_Exact,198,25,218.9,8.76,220,12.37,Converting KW
amazon business account australia,[amazon business account australia],Exact match,AU_Brand_Exact,Account_Exact,202,58,178.02,3.07,10,21.17,Converting KW
business card printing,[business cards],Exact match (close variant),AU_Generic,Office Supplies_Exact,151,13,114.95,8.84,0,,Zero-Reg KW
amazon wholesale,"""business amazon""",Phrase match (close variant),AU_Brand_Phrase,Pure_ Phrase,69,26,114.47,4.4,23,111.21,Converting KW
amazon business vs personal,[amazon business account vs personal],Exact match (close variant),AU_Brand_Exact,Account_Exact,39,6,113.31,18.89,0,,Zero-Reg KW
what is amazon business,[amazon business information],Exact match (close variant),AU_Brand_Exact,Navigation_Exact,63,10,106.87,10.69,1,236.84,Converting KW
dropshipping suppliers australia,"""suppliers companies""",Phrase match (close variant),AU_Generic,Suppliers_Enterprises_Phrase,55,10,103.81,10.38,0,,Zero-Reg KW
bulk buy,[bulk suppliers],Exact match (close variant),AU_Generic,Bulk_Suppliers_Exact,68,12,94.87,7.91,0,,Zero-Reg KW
cleaning supplies,[cleaning buy],Exact match (close variant),AU_Generic_P-V_Janitorial,Purchasing_Exact,263,15,87.54,5.84,0,,Zero-Reg KW
amazon business login,[amazon business login],Exact match,AU_Brand_Exact,Navigation_Exact,505,172,85.32,0.5,5,17.06,Converting KW
bulk toilet paper,[bulk toilet paper],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,158,17,83.01,4.88,0,,Zero-Reg KW
bulk toilet paper,[bulk toilet paper],Exact match,AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,158,17,83.01,4.88,0,,Zero-Reg KW
amazon business au,[amazon business au],Exact match,AU_Brand_Exact,Pure_Exact,58,13,81.0,6.23,2,238.02,Converting KW
cleaning supplies,[cleaning products],Exact match (close variant),AU_Generic_P-V_Janitorial,Products_Exact,202,15,75.59,5.04,0,,Zero-Reg KW
amazon business cost,[amazon business cost],Exact match,AU_Brand_Exact,Pure_Exact,20,5,73.18,14.64,2,111.23,Converting KW
business cards printing,[business cards],Exact match (close variant),AU_Generic,Office Supplies_Exact,84,7,72.17,10.31,0,,Zero-Reg KW
amazon for business,"""amazon for business""",Exact match,AU_Brand_Phrase,Pure_ Phrase,218,93,70.98,0.76,15,116.42,Converting KW
wholesale,[wholesale],Exact match,AU_Generic,Wholesale_Exact,105,8,68.53,8.57,0,,Zero-Reg KW
