Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
[amazon business],Exact match,AU_Brand_Exact,Pure_Exact,9954,3630,2722.18,220,0.75,12.37,36.47,6.06
[amazon business account],Exact match,AU_Brand_Exact,Account_Exact,1848,605,698.86,85,1.16,8.22,32.74,14.05
[amazon business australia],Exact match,AU_Brand_Exact,Pure_Exact,1138,446,694.64,51,1.56,13.62,39.19,11.43
"""business amazon""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,3572,303,2557.79,23,8.44,111.21,8.48,7.59
"""professional beauty products""",Phrase match,AU_Generic_P-V_Beauty,Products_Cosmetics_Phrase,4700,328,1854.75,16,5.65,115.92,6.98,4.88
"""amazon for business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,1699,238,1746.23,15,7.34,116.42,14.01,6.3
[amazon business account australia],Exact match,AU_Brand_Exact,Account_Exact,222,65,211.67,10,3.26,21.17,29.28,15.38
[amazon business account au],Exact match,AU_Brand_Exact,Account_Exact,172,69,297.49,10,4.31,29.75,40.12,14.49
[how to create an amazon business account],Exact match,AU_Brand_Exact,Navigation_Exact,221,56,514.69,9,9.19,57.19,25.34,16.07
"""wholesale electronic products""",Phrase match,AU_Generic_P-V_Electronics,Electronics_Wholesale_Phrase,1337,93,708.69,9,7.62,78.74,6.96,9.68
"""amazon company account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,1032,93,1098.97,9,11.82,122.11,9.01,9.68
"""amazon business portal""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,976,102,1123.81,9,11.02,124.87,10.45,8.82
"""jars bulk""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,1586,219,1051.04,8,4.8,131.38,13.81,3.65
"""amazon business account""",Phrase match,AU_Brand_Phrase,Account_ Phrase,1810,181,2206.76,8,12.19,275.85,10.0,4.42
"""bulk water bottles""",Phrase match,AU_Generic_P-V_Food,Drinks_Bulk_Phrase,846,126,536.46,7,4.26,76.64,14.89,5.56
"""professional salon products distributors""",Phrase match,AU_Generic_P-V_Beauty,Salon-Spa_Distributors_Phrase,2306,162,985.36,7,6.08,140.77,7.03,4.32
"""makeup suppliers""",Phrase match,AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,1509,120,747.34,6,6.23,124.56,7.95,5.0
[amazon business login],Exact match,AU_Brand_Exact,Navigation_Exact,505,172,85.32,5,0.5,17.06,34.06,2.91
"""bulk skin care products""",Phrase match,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,1529,185,677.28,5,3.66,135.46,12.1,2.7
"""bulk buy food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,2154,262,729.32,5,2.78,145.86,12.16,1.91
[create amazon business account],Exact match,AU_Brand_Exact,Account_Exact,59,24,89.88,4,3.74,22.47,40.68,16.67
[amazon au business prime],Exact match,AU_Brand_Exact,Prime_Exact,47,16,98.38,4,6.15,24.6,34.04,25.0
[amazon prime business],Exact match,AU_Brand_Exact,Prime_Exact,142,51,104.27,4,2.04,26.07,35.92,7.84
"""bulk seasoning""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,639,50,208.08,4,4.16,52.02,7.82,8.0
"""commercial take out containers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,1446,115,411.29,4,3.58,102.82,7.95,3.48
[how to set up a business amazon account],Exact match,AU_Brand_Exact,Navigation_Exact,176,38,441.41,4,11.62,110.35,21.59,10.53
"""bulk buy easter eggs""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,681,83,494.58,4,5.96,123.65,12.19,4.82
"""drinks wholesale market""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,724,101,586.44,4,5.81,146.61,13.95,3.96
"""wholesale glassware""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,703,98,629.39,4,6.42,157.35,13.94,4.08
"""bottles wholesale""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,1081,135,657.25,4,4.87,164.31,12.49,2.96
"""buy bulk sweets""",Phrase match,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,2005,220,775.98,4,3.53,194.0,10.97,1.82
"""amazon prime business""",Phrase match,AU_Brand_Phrase,Prime_Phrase,794,62,829.02,4,13.37,207.26,7.81,6.45
[setup amazon business account],Exact match,AU_Brand_Exact,Account_Exact,41,12,147.42,3,12.28,49.14,29.27,25.0
"""computers distributor""",Phrase match,AU_Generic_P-V_Electronics,Computers_Distributor_Phrase,511,38,248.26,3,6.53,82.75,7.44,7.89
"""bulk party""",Phrase match,AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,553,51,300.77,3,5.9,100.26,9.22,5.88
[business prime],Exact match,AU_Brand_Exact,Prime_Exact,300,78,315.56,3,4.05,105.19,26.0,3.85
[amazon business registration],Exact match,AU_Brand_Exact,Account_Exact,148,36,353.47,3,9.82,117.82,24.32,8.33
"""amazon au business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,512,48,391.68,3,8.16,130.56,9.38,6.25
"""wholesale foods""",Phrase match,AU_Generic_P-V_Food,Food_Wholesale_Phrase,1032,114,466.98,3,4.1,155.66,11.05,2.63
"""amazon business""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,806,79,600.58,3,7.6,200.19,9.8,3.8
"""bulk take out boxes""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,929,118,609.44,3,5.16,203.15,12.7,2.54
"""amazon business information""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,1285,77,673.79,3,8.75,224.6,5.99,3.9
"""amazon business au""",Phrase match,AU_Brand_Phrase,Pure_ Phrase,1116,117,1110.6,3,9.49,370.2,10.48,2.56
[amazon business account sign up],Exact match,AU_Brand_Exact,Account_Exact,22,7,41.58,2,5.94,20.79,31.82,28.57
[amazon business open account],Exact match,AU_Brand_Exact,Account_Exact,22,7,61.28,2,8.75,30.64,31.82,28.57
"""professional amplifiers""",Phrase match,AU_Generic_P-V_Electronics,Power_Phrase,233,11,68.61,2,6.24,34.31,4.72,18.18
[commercial cake boxes],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Exact,182,21,75.88,2,3.61,37.94,11.54,9.52
"""party decorations suppliers""",Phrase match,AU_Generic_P-V_Celebrations,Party_Suppliers_Phrase,176,18,93.44,2,5.19,46.72,10.23,11.11
[amazon business account sign in],Exact match,AU_Brand_Exact,Navigation_Exact,83,21,110.35,2,5.25,55.18,25.3,9.52
"""cooking suppliers""",Phrase match,AU_Generic_P-V_Food,Food_Suppliers_Phrase,376,26,114.91,2,4.42,57.46,6.91,7.69
"""wholesale event supplies""",Phrase match,AU_Generic_P-V_Celebrations,Wholesale_Phrase,214,25,117.67,2,4.71,58.84,11.68,8.0
[business amazon],Exact match,AU_Brand_Exact,Pure_Exact,232,72,155.44,2,2.16,77.72,31.03,2.78
[how to get amazon business account],Exact match,AU_Brand_Exact,Navigation_Exact,115,20,157.25,2,7.86,78.63,17.39,10.0
"""bulk boxed chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,279,37,160.03,2,4.33,80.02,13.26,5.41
"""glassware wholesalers""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesalers_Phrase,191,29,161.66,2,5.57,80.83,15.18,6.9
[business prime account cost],Exact match,AU_Brand_Exact,Prime_Exact,86,16,169.59,2,10.6,84.8,18.6,12.5
[amazon business cost],Exact match,AU_Brand_Exact,Pure_Exact,78,17,222.46,2,13.09,111.23,21.79,11.76
"""false eyelashes suppliers""",Phrase match,AU_Generic_P-V_Beauty,Makeup_Supplier_Phrase,278,36,224.99,2,6.25,112.5,12.95,5.56
"""bulk biscuits""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,366,42,231.23,2,5.51,115.62,11.48,4.76
"""bulk canned food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,441,46,247.98,2,5.39,123.99,10.43,4.35
[amazon business benefits],Exact match,AU_Brand_Exact,Account_Exact,144,23,254.7,2,11.07,127.35,15.97,8.7
"""amazon business delivery""",Phrase match,AU_Brand_Phrase,Navigation_Phrase,300,32,306.85,2,9.59,153.43,10.67,6.25
"""wholesale soft drinks""",Phrase match,AU_Generic_P-V_Food,Drinks_Wholesale_Phrase,459,57,327.43,2,5.74,163.72,12.42,3.51
"""nail care products distributors""",Phrase match,AU_Generic_P-V_Beauty,Nail-Care_Distributors_Phrase,559,67,372.91,2,5.57,186.46,11.99,2.99
"""jars wholesale""",Phrase match,AU_Generic_P-V_Food,Plates_Wholesale_Phrase,571,87,384.42,2,4.42,192.21,15.24,2.3
"""cosmetics wholesaler""",Phrase match,AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,1164,92,469.59,2,5.1,234.8,7.9,2.17
[amazon business au],Exact match,AU_Brand_Exact,Pure_Exact,300,54,476.04,2,8.82,238.02,18.0,3.7
"""amazon business prime""",Phrase match,AU_Brand_Phrase,Prime_Phrase,605,49,561.33,2,11.46,280.67,8.1,4.08
"""foods wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,1781,159,740.15,2,4.66,370.08,8.93,1.26
"""computers for business""",Phrase match,AU_Generic_P-V_Electronics,Computers_Phrase,3592,139,813.58,2,5.85,406.79,3.87,1.44
"""bulk cups""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Bulk_Phrase,1785,183,1012.41,2,5.53,506.21,10.25,1.09
[wholesale computer parts],Exact match,AU_Generic_P-V_Electronics,Computers_Wholesale_Exact,3,1,4.03,1,4.03,4.03,33.33,100.0
"""wholesale eyeshadow""",Phrase match,AU_Generic_P-V_Beauty,Makeup_Wholesale_Phrase,3,1,5.49,1,5.49,5.49,33.33,100.0
"""spices wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,22,2,8.1,1,4.05,8.1,9.09,50.0
[commercial water glasses],Exact match,AU_Generic_P-V_Food,Glassware_Exact,7,2,8.11,1,4.06,8.11,28.57,50.0
[computer parts distributor],Exact match,AU_Generic_P-V_Electronics,Computers_Distributor_Exact,11,1,9.25,1,9.25,9.25,9.09,100.0
"""bulk pasta""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,19,4,9.45,1,2.36,9.45,21.05,25.0
[wholesale cupcake boxes],Exact match,AU_Generic_P-V_Food,Kitchen Tools_Wholesale_Exact,10,2,10.36,1,5.18,10.36,20.0,50.0
[wholesale wigs],Exact match,AU_Generic_P-V_Beauty,Hair-Appliances_Wholesale_Exact,11,2,10.38,1,5.19,10.38,18.18,50.0
[wholesale makeup bags],Exact match,AU_Generic_P-V_Beauty,Makeup_Wholesale_Exact,4,1,11.87,1,11.87,11.87,25.0,100.0
"""bulk laptops""",Phrase match,AU_Generic_P-V_Electronics,Computers_Bulk_Phrase,50,3,14.12,1,4.71,14.12,6.0,33.33
