Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
"""amazon empresa""",Phrase match,MX - Brand Phrase,Pure_Phrase,3864,411,2172.67,13,5.29,167.13,10.64,3.16
"""tienda al por mayor en línea""",Phrase match,MX - Generic,Wholesales_Buy_Phrase,8277,1078,1967.32,18,1.82,109.3,13.02,1.67
"""al por mayor""",Phrase match,MX - Generic,Wholesales_Phrase,7945,971,1517.68,15,1.56,101.18,12.22,1.54
"""artículos al por mayor""",Phrase match,MX - Generic,Wholesales_Products_Phrase,7492,980,1318.97,8,1.35,164.87,13.08,0.82
"""alimentos al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,7037,605,1237.67,6,2.05,206.28,8.6,0.99
"""como facturar en amazon""",Phrase match,MX - Invoice AMZ,Invoice_Phrase,1366,234,1086.54,11,4.64,98.78,17.13,4.7
"""productos al por mayor""",Phrase match,MX - Generic,Core_Wholesales_Products_Phrase,4325,500,1081.86,13,2.16,83.22,11.56,2.6
"""proveedor productos""",Phrase match,MX - Generic,Core_Suppliers_Products_Phrase,5711,530,1081.83,7,2.04,154.55,9.28,1.32
[amazon business],Exact match,MX - Brand Exact,Pure_Exact,10793,4511,976.77,317,0.22,3.08,41.8,7.03
"""amazon empresarial""",Phrase match,MX - Brand Phrase,Pure_Phrase,1162,95,894.28,4,9.41,223.57,8.18,4.21
"""distribuidor de suministros""",Phrase match,MX - Crafts,Home Accessories_Distributor_Phrase,3792,321,862.15,8,2.69,107.77,8.47,2.49
"""productos de belleza al por mayor""",Phrase match,MX - Beauty,Makeup_Wholesale_Phrase,4346,564,762.34,13,1.35,58.64,12.98,2.3
"""cuenta de empresa en amazon""",Phrase match,MX - Brand Phrase,Account_Phrase,2031,334,690.99,15,2.07,46.07,16.45,4.49
"""suministros oficina""",Phrase match,MX - Office,Generic_Phrase,9594,466,662.23,1,1.42,662.23,4.86,0.21
"""proveedor de perfume""",Phrase match,MX - Beauty,Fragrance_Supplier_Phrase,2151,379,648.17,4,1.71,162.04,17.62,1.06
"""amazon para empresas""",Phrase match,MX - Brand Phrase,Pure_Phrase,780,132,602.2,6,4.56,100.37,16.92,4.55
"""productos electrónicos al por mayor""",Phrase match,MX - Shops,Shops_Wholesales_Electronics_Phrase,1957,350,580.1,0,1.66,,17.88,0.0
"""compras proveedor""",Phrase match,MX - Generic,Suppliers_Products_Phrase,3284,349,570.02,4,1.63,142.51,10.63,1.15
"""amazon negocios""",Phrase match,MX - Brand Phrase,Pure_Phrase,474,69,568.13,5,8.23,113.63,14.56,7.25
"""cuenta amazon business""",Phrase match,MX - Brand Phrase,Account_Phrase,1284,247,539.98,8,2.19,67.5,19.24,3.24
"""cuenta de empresa de amazon""",Phrase match,MX - Brand Phrase,Account_Phrase,924,125,522.35,4,4.18,130.59,13.53,3.2
"""distribuidores de productos para el cabello""",Phrase match,MX - Beauty,Hair Styling_Distributors_Phrase,1655,244,520.92,4,2.13,130.23,14.74,1.64
"""ropa por mayoreo""",Phrase match,MX - Apparel,Clothing_Phrase,3771,509,430.69,4,0.85,107.67,13.5,0.79
"""proveedores vasos""",Phrase match,MX - Food,Glassware_Suppliers_Phrase,1827,178,429.13,2,2.41,214.57,9.74,1.12
