Search Term,Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,CPC,Keyword Regs,Keyword CPA,Keyword Status
amazon business,[amazon business],Exact match,MX - Brand Exact,Pure_Exact,10772,4505,960.24,0.21,317,3.08,Converting KW
como facturar en amazon,"""como facturar en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,531,91,321.92,3.54,11,98.78,Converting KW
amazon dsp,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,148,19,178.45,9.39,13,167.13,Converting KW
amazon ads,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,155,7,170.86,24.41,4,223.57,Converting KW
amazon associates mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,214,55,133.08,2.42,13,167.13,Converting KW
como ser distribuidor de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,97,19,126.53,6.66,13,167.13,Converting KW
amazon factura,"""amazon factura""",Exact match,MX - Invoice AMZ,Invoice_Phrase,174,28,124.13,4.43,3,48.05,Converting KW
facturacion amazon,"""facturacion amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,191,37,123.77,3.35,1,130.13,Converting KW
factura amazon,[factura amazon],Exact match,MX - Invoice AMZ,Invoice_Exact,190,21,87.04,4.14,1,276.03,Converting KW
mayoreo,[mayoreo],Exact match,MX - Generic,Core_Wholesalers_Exact,721,68,84.3,1.24,3,29.42,Converting KW
escritorios para oficina,[escritorios para oficina],Exact match,MX - Office,Office Furniture_Exact,419,46,82.12,1.79,2,74.14,Converting KW
amazon business mexico,[amazon business mexico],Exact match,MX - Brand Exact,Pure_Exact,1208,510,71.64,0.14,45,1.59,Converting KW
proveedores de perfumes originales,"""proveedor de perfume""",Phrase match,MX - Beauty,Fragrance_Supplier_Phrase,154,45,71.37,1.59,4,162.04,Converting KW
amazon facturacion,"""amazon facturacion""",Exact match,MX - Invoice AMZ,Invoice_Phrase,108,21,70.09,3.34,1,70.09,Converting KW
se puede facturar en amazon,"""se puede facturar en amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,101,19,65.3,3.44,0,,Zero-Reg KW
vendor central,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,152,7,64.59,9.23,6,100.37,Converting KW
silla de escritorio,[sillas oficina],Exact match (close variant),MX - Office,Furniture_Exact,408,35,63.44,1.81,0,,Zero-Reg KW
activate amazon corp com,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,48,7,62.52,8.93,13,167.13,Converting KW
amazon associates méxico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,128,26,59.26,2.28,13,167.13,Converting KW
vendor central amazon,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,81,13,58.89,4.53,6,100.37,Converting KW
servicios comerciales amazon mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,175,12,58.43,4.87,13,167.13,Converting KW
como cambiar mi cuenta de amazon business a personal,"""cuenta de empresa de amazon""",Phrase match (close variant),MX - Brand Phrase,Account_Phrase,6,3,55.79,18.6,4,130.59,Converting KW
como facturar en amazon mexico,"""como facturar en amazon mexico""",Exact match,MX - Invoice AMZ,Invoice_Phrase,63,14,54.63,3.9,0,,Zero-Reg KW
facturar amazon,"""facturar amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,98,10,50.41,5.04,3,49.61,Converting KW
pch mayoreo,"""mayorista de equipos""",Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,214,7,50.38,7.2,5,56.94,Converting KW
amazon proveedores de transporte,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,26,5,47.45,9.49,13,167.13,Converting KW
abasteo mx,"""comprar mercancías""",Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,232,17,47.0,2.76,2,81.03,Converting KW
cambiar cuenta amazon business a normal,"""cuenta amazon business""",Phrase match,MX - Brand Phrase,Account_Phrase,7,2,46.02,23.01,8,67.5,Converting KW
maquillaje mayoreo,[mayorista de maquillaje],Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,118,29,45.5,1.57,1,168.77,Converting KW
como facturar amazon,"""como facturar amazon""",Exact match,MX - Invoice AMZ,Invoice_Phrase,55,9,43.73,4.86,0,,Zero-Reg KW
máquina de helados para negocio amazon,"""amazon para negocios""",Phrase match,MX - Brand Phrase,Pure_Phrase,33,13,43.25,3.33,0,,Zero-Reg KW
amazon vendorcentral,"""amazon para empresas""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,2,2,41.78,20.89,6,100.37,Converting KW
kdp amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,82,8,40.84,5.11,13,167.13,Converting KW
proveedor de perfumes originales,"""proveedor de perfume""",Phrase match,MX - Beauty,Fragrance_Supplier_Phrase,71,26,40.81,1.57,4,162.04,Converting KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,298,18,38.81,2.16,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,298,18,38.81,2.16,0,,Zero-Reg KW
trituradora de papel,[trituradora de documentos],Exact match (close variant),MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,298,18,38.81,2.16,0,,Zero-Reg KW
tecnoback mayoristas,"""distribuidor de suministros""",Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,136,22,38.49,1.75,8,107.77,Converting KW
abarrotes baratos para negocio,"""compras para empresas""",Phrase match (close variant),MX - Generic,Enterprises_Purchasing_Phrase,28,9,36.46,4.05,0,,Zero-Reg KW
como cancelar amazon business,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,16,2,35.64,17.82,4,223.57,Converting KW
alibaba mexico,"""comprar mercancías""",Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,518,22,35.63,1.62,2,81.03,Converting KW
provecomer,"""proveedor para empresas""",Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,242,6,35.54,5.92,4,68.08,Converting KW
enlace comercial b2b,"""ventas b2b""",Phrase match (close variant),MX - Generic,B2B_Enterprise_Phrase,21,1,35.25,35.25,0,,Zero-Reg KW
como se factura en amazon,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,21,6,34.63,5.77,11,98.78,Converting KW
escritorio oficina,[escritorios para oficina],Exact match (close variant),MX - Office,Office Furniture_Exact,91,13,34.29,2.64,2,74.14,Converting KW
amazon payee central,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,51,3,34.06,11.35,4,223.57,Converting KW
amazon kdp mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,60,9,32.09,3.57,13,167.13,Converting KW
facturacion amazon mexico,"""facturacion amazon mexico""",Exact match,MX - Invoice AMZ,Invoice_Phrase,48,9,32.06,3.56,0,,Zero-Reg KW
amazon central mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,6,2,30.52,15.26,13,167.13,Converting KW
factura amazon mexico,"""facturar amazon mexico""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,17,6,29.58,4.93,0,,Zero-Reg KW
amazon dsp,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,7,2,29.35,14.68,4,223.57,Converting KW
sillas de oficina,[sillas de oficina],Exact match,MX - Office,Furniture_Exact,202,15,29.3,1.95,0,,Zero-Reg KW
papeleria mayoreo,[comercio al por mayor de artículos de papelería],Exact match (close variant),MX - Office,Wholesales_Exact,111,15,29.13,1.94,0,,Zero-Reg KW
como ser agencia de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,55,5,28.83,5.77,13,167.13,Converting KW
amazon seller login,"""a cuenta amazon""",Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,94,12,28.48,2.37,1,136.9,Converting KW
tiendas de mayoreo en línea,[comprar al por mayor en línea],Exact match (close variant),MX - Generic,Wholesales_Exact,124,10,28.1,2.81,1,123.98,Converting KW
proveedores de ropa,[mayoristas de prendas de vestir],Exact match (close variant),MX - Shops,Shops_Wholesalers_Clothing_Exact,156,29,27.6,0.95,0,,Zero-Reg KW
amazon dsp mexico,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,51,4,27.26,6.82,13,167.13,Converting KW
como facturar un pedido de amazon,[factura pedidos amazon],Exact match (close variant),MX - Invoice AMZ,Invoicing_Exact,4,2,27.26,13.63,0,,Zero-Reg KW
como ser una agencia de amazon,"""amazon empresa""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,12,5,27.12,5.42,13,167.13,Converting KW
como facturar en amazon una compra,"""como facturar en amazon""",Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,21,5,26.94,5.39,11,98.78,Converting KW
amazon workmail,"""amazon empresarial""",Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,8,2,26.88,13.44,4,223.57,Converting KW
gorras mayoreo,"""tienda al por mayor en línea""",Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,73,12,26.39,2.2,18,109.3,Converting KW
