Keyword,Match Type,Campaign,Ad Group,Impressions,Clicks,Cost,Registrations,CPC,CPA,CTR %,Conv Rate %
[amazon business],Exact match,MX - Brand Exact,Pure_Exact,10793,4511,976.77,317,0.22,3.08,41.8,7.03
[amazon business mexico],Exact match,MX - Brand Exact,Pure_Exact,1208,510,71.64,45,0.14,1.59,42.22,8.82
"""tienda al por mayor en línea""",Phrase match,MX - Generic,Wholesales_Buy_Phrase,8277,1078,1967.32,18,1.82,109.3,13.02,1.67
"""cuenta de empresa en amazon""",Phrase match,MX - Brand Phrase,Account_Phrase,2031,334,690.99,15,2.07,46.07,16.45,4.49
"""al por mayor""",Phrase match,MX - Generic,Wholesales_Phrase,7945,971,1517.68,15,1.56,101.18,12.22,1.54
[crear cuenta amazon business],Exact match,MX - Brand Exact,Account_Exact,70,24,29.91,14,1.25,2.14,34.29,58.33
"""productos de belleza al por mayor""",Phrase match,MX - Beauty,Makeup_Wholesale_Phrase,4346,564,762.34,13,1.35,58.64,12.98,2.3
"""productos al por mayor""",Phrase match,MX - Generic,Core_Wholesales_Products_Phrase,4325,500,1081.86,13,2.16,83.22,11.56,2.6
"""amazon empresa""",Phrase match,MX - Brand Phrase,Pure_Phrase,3864,411,2172.67,13,5.29,167.13,10.64,3.16
[amazon negocios],Exact match,MX - Brand Exact,Pure_Exact,143,64,13.27,11,0.21,1.21,44.76,17.19
"""como facturar en amazon""",Phrase match,MX - Invoice AMZ,Invoice_Phrase,1366,234,1086.54,11,4.64,98.78,17.13,4.7
"""cuenta amazon business""",Phrase match,MX - Brand Phrase,Account_Phrase,1284,247,539.98,8,2.19,67.5,19.24,3.24
"""distribuidor de suministros""",Phrase match,MX - Crafts,Home Accessories_Distributor_Phrase,3792,321,862.15,8,2.69,107.77,8.47,2.49
"""artículos al por mayor""",Phrase match,MX - Generic,Wholesales_Products_Phrase,7492,980,1318.97,8,1.35,164.87,13.08,0.82
"""distribuidor de bebidas""",Phrase match,MX - Food,Food_Distributor_Phrase,2169,276,419.04,7,1.52,59.86,12.72,2.54
"""proveedor productos""",Phrase match,MX - Generic,Core_Suppliers_Products_Phrase,5711,530,1081.83,7,2.04,154.55,9.28,1.32
[comprar al por mayor amazon],Exact match,MX - Generic AMZ,Generic_Wholesales_Purchasing_Exact,50,27,20.47,6,0.76,3.41,54.0,22.22
amazon compra por mayor,Broad match,MX - Generic AMZ,Generic_Wholesales_Broad,443,99,245.6,6,2.48,40.93,22.35,6.06
"""comprar ropa para vender""",Phrase match,MX - Apparel,Clothing_Phrase,1659,243,257.99,6,1.06,43.0,14.65,2.47
"""amazon para empresas""",Phrase match,MX - Brand Phrase,Pure_Phrase,780,132,602.2,6,4.56,100.37,16.92,4.55
"""alimentos al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,7037,605,1237.67,6,2.05,206.28,8.6,0.99
[amazon empresarial],Exact match,MX - Brand Exact,Pure_Exact,70,22,6.05,5,0.27,1.21,31.43,22.73
"""crear una cuenta business en amazon""",Phrase match,MX - Brand Phrase,Account_Phrase,135,28,85.45,5,3.05,17.09,20.74,17.86
[proveedores al por mayor],Exact match,MX - Generic,Wholesales_Suppliers_Exact,921,141,242.33,5,1.72,48.47,15.31,3.55
"""mayorista de equipos""",Phrase match,MX - Crafts,Professional Tools_Wholesalers_Phrase,1046,90,284.69,5,3.16,56.94,8.6,5.56
"""amazon negocios""",Phrase match,MX - Brand Phrase,Pure_Phrase,474,69,568.13,5,8.23,113.63,14.56,7.25
"""amazon business cuenta""",Phrase match,MX - Brand Phrase,Account_Phrase,202,28,66.1,4,2.36,16.52,13.86,14.29
"""proveedor para empresas""",Phrase match,MX - Generic,Suppliers_Enterprises_Phrase,1165,101,272.32,4,2.7,68.08,8.67,3.96
"""distribuidor de productos de alimentación""",Phrase match,MX - Food,Food_Distributor_Phrase,2241,179,294.7,4,1.65,73.68,7.99,2.23
"""ropa por mayoreo""",Phrase match,MX - Apparel,Clothing_Phrase,3771,509,430.69,4,0.85,107.67,13.5,0.79
"""distribuidores de productos para el cabello""",Phrase match,MX - Beauty,Hair Styling_Distributors_Phrase,1655,244,520.92,4,2.13,130.23,14.74,1.64
