ref_tag,total_regs
pd_sl_au_brand_core_2938077214_x182824221527,87
pd_sl_au_brand_core_5343911069_x182824221487,43
pd_sl_au_brand_core_383974131330_x182824221527,18
pd_sl_au_brand_phrase_26299210406_y182824218927,15
pd_sl_AU_pv_bea_298184915175_y178961839416,8
pd_sl_au_brand_core_927846284635_x182824221487,6
pd_sl_au_brand_phrase_320496721401_y182824218927,6
pd_sl_AU_pv_ele_315214209334_y184975937704,5
pd_sl_AU_pv_foo_298330710177_y173370687090,5
pd_sl_au_brand_phrase_487064728454_y182824219167,4
pd_sl_AU_pv_bea_322540378494_y178961838696,4
pd_sl_au_brand_core_2318365166105_x182824221487,4
pd_sl_au_brand_core_376943159698_x182824221567,4
pd_sl_AU_pv_foo_299990629803_y173370684650,4
pd_sl_AU_pv_foo_298850182490_y173370685170,4
pd_sl_au_brand_core_308931466713_x182824221567,4
pd_sl_AU_pv_foo_768578056_y173370685170,3
pd_sl_au_brand_core_2611426118352_x182824221727,3
pd_sl_au_brand_core_381999709176_x182824221487,3
pd_sl_au_brand_core_356593839970_x182824221567,3
pd_sl_AU_pv_jan_315211218174_y175435630262,3
pd_sl_AU_pv_jan_300396336366_y175435632622,3
pd_sl_AU_pv_jan_297648532021_y175435636782,3
pd_sl_AU_pv_jan_320048234114_y175435632902,3
pd_sl_AU_pv_jan_18766890_y175435632142,3
pd_sl_AU_pv_jan_92688795_x175435631942,3
pd_sl_au_brand_phrase_382550438527_y182824219087,3
pd_sl_AU_pv_ele_417780379886_y184975937464,3
pd_sl_au_brand_phrase_396660574738_y182824219127,3
pd_sl_AU_pv_sho_295385703302_y179602105593,3
pd_sl_AU_pv_foo_297851839330_y173370685090,2
pd_sl_AU_pv_foo_295679152696_y173370688050,2
pd_sl_AU_pv_jan_282036073_y175435636062,2
pd_sl_AU_pv_bea_1437911306377_y178961838656,2
pd_sl_AU_pv_sho_171623549_y179602106153,2
pd_sl_AU_pv_sho_143255464_y179602104673,2
pd_sl_au_pv_1408937948089_y174297847650,2
pd_sl_au_brand_phrase_827808610064_y182824218927,2
pd_sl_au_brand_phrase_487064728054_y182824219167,2
pd_sl_AU_pv_foo_650906735440_y173370685570,2
pd_sl_AU_pv_bea_354393519254_y178961840576,2
pd_sl_AU_pv_foo_296136790011_y173370685570,2
pd_sl_au_brand_core_301409912300_x182824221727,2
pd_sl_au_brand_core_300984984225_x182824221487,2
pd_sl_au_brand_core_315288937870_x182824221487,2
pd_sl_au_brand_phrase_322112036565_y182824219167,2
pd_sl_au_brand_core_376943159738_x182824221567,2
pd_sl_au_brand_phrase_1802041673_y182824218927,2
pd_sl_au_brand_core_354102983953_x182824221487,2
pd_sl_au_brand_phrase_2263004745042_y182824218927,2
pd_sl_AU_pv_foo_2291754366874_y173370686290,2
pd_sl_au_brand_phrase_32475936916_y182824219127,2
pd_sl_AU_pv_off_13167990_y175041559101,1
pd_sl_AU_pv_off_318088678440_y175041559581,1
pd_sl_AU_pv_off_297648548301_y175041558901,1
pd_sl_AU_pv_sho_26970442697_y179602103993,1
pd_sl_AU_pv_sho_1500757142357_y179602106313,1
pd_sl_AU_pv_off_10273171_x175041560141,1
pd_sl_AU_pv_mat_47122090_y176863280623,1
pd_sl_AU_pv_off_12606462_y175041559141,1
pd_sl_AU_pv_sho_25920743_y179602105113,1
pd_sl_AU_pv_off_1292909925_y175041559101,1
pd_sl_AU_pv_off_328107207980_y175041559421,1
b2b_mcs_L0_signin,1
pd_sl_AU_pv_sho_298042685508_y179602103233,1
pd_sl_au_brand_core_374151901645_x182824221727,1
pd_sl_au_pv_1408937950689_y174297845970,1
pd_sl_au_brand_core_5033848589_x182824221527,1
pd_sl_au_brand_core_381999707896_x182824221487,1
pd_sl_au_brand_core_381999707456_x182824221487,1
pd_sl_au_brand_core_381759532071_x182824221527,1
pd_sl_au_brand_core_376943159658_x182824221487,1
pd_sl_AU_pv_jan_774643484392_y175435631022,1
pd_sl_AU_pv_sho_317734352559_y179602107593,1
pd_sl_au_brand_core_2611426117912_x182824221727,1
pd_sl_au_brand_core_1374483578072_x182824221727,1
pd_sl_au_brand_core5343911069_x182824221487,1
pd_sl_AU_pv_sho_44640003_y179602104713,1
pd_sl_AU_pv_sho_341109363776_y179602105433,1
pd_sl_AU_pv_sho_335172192226_y179602107993,1
pd_sl_au_brand_core_366638075008_x182824221567,1
pd_sl_AU_pv_jan_304377824361_y175435633862,1
pd_sl_AU_pv_jan_746050900_x175435632942,1
pd_sl_AU_pv_ele_16324490_x179165230738,1
pd_sl_AU_pv_foo_307262669721_y173370685610,1
pd_sl_AU_pv_foo_303684835891_y173370685090,1
pd_sl_AU_pv_foo_300646649906_y173370685170,1
pd_sl_AU_pv_foo_300421345801_y173370685570,1
pd_sl_AU_pv_foo_298986074342_x173370681810,1
pd_sl_AU_pv_foo_298901863905_y173370684410,1
pd_sl_AU_pv_foo_298581528184_y173370688530,1
pd_sl_AU_pv_foo_296504565485_y173370685170,1
pd_sl_AU_pv_foo_1302577753_y173370685410,1
pd_sl_AU_pv_foo_1182577515347_y173370685170,1
pd_sl_AU_pv_ele_305622281460_y184975938224,1
pd_sl_AU_pv_ele_304047338384_y184975938184,1
pd_sl_AU_pv_celec_852574836_y183739365492,1
pd_sl_AU_pv_foo_317833145654_y173370685610,1
pd_sl_AU_pv_celec_714057231_y183739365532,1
pd_sl_AU_pv_celec_510211709192_y183739365972,1
pd_sl_AU_pv_celec_296882768326_y183739365252,1
pd_sl_AU_pv_celec_101735944_x175435639102,1
pd_sl_AU_pv_bea_375130466397_y178961839176,1
pd_sl_AU_pv_bea_360664667645_y178961838136,1
pd_sl_AU_pv_bea_359926722937_y178961840576,1
pd_sl_AU_pv_bea_351233574687_x181712970201,1
pd_sl_AU_pv_bea_331093407036_y178961838376,1
pd_sl_AU_pv_bea_308091303813_y178961839176,1
pd_sl_AU_pv_bea_300640519119_y178961839096,1
pd_sl_AU_pv_bea_279529942_y178961837896,1
pd_sl_AU_pv_foo_312588111050_y173370686130,1
pd_sl_AU_pv_foo_318860271521_y173370686090,1
pd_sl_AU_pv_jan_502138679272_x175435635782,1
pd_sl_AU_pv_jan_296545748842_x175435633382,1
pd_sl_AU_pv_jan_357836460605_y175435632382,1
pd_sl_AU_pv_jan_326219161571_x175435630302,1
pd_sl_AU_pv_jan_325103482991_y175435633662,1
pd_sl_AU_pv_jan_312350322858_x175435633102,1
pd_sl_AU_pv_jan_30843153_x175435635502,1
pd_sl_AU_pv_jan_306522081519_y175435630542,1
b2b_mcs_L1_regnav,1
pd_sl_AU_pv_jan_300125609038_x175435634382,1
pd_sl_AU_pv_jan_298581530824_y175435635342,1
pd_sl_AU_pv_jan_298508072835_x175435635742,1
pd_sl_AU_pv_jan_297620536793_y175435631422,1
pd_sl_AU_pv_jan_296649803483_y175435636062,1
pd_sl_AU_pv_jan_276459133_x175435631942,1
pd_sl_AU_pv_foo_343383864948_x173370677250,1
pd_sl_AU_pv_jan_14720782_x175435635502,1
pd_sl_AU_pv_jan_1434855915766_y175435635582,1
pd_sl_AU_pv_ind_66297640_y176863278143,1
pd_sl_AU_pv_hosp_76155761_y182023549870,1
pd_sl_AU_pv_hosp_29309889117_y182023549630,1
pd_sl_AU_pv_hosp_160231485_y182023549670,1
pd_sl_AU_pv_foo_795294595_x173370677490,1
pd_sl_AU_pv_foo_4969414665_x173370680810,1
pd_sl_AU_pv_foo_4358061107_x173370681730,1
pd_sl_AU_pv_foo_380016645117_x173370681770,1
pd_sl_AU_pv_foo_370973176453_y173370688250,1
pd_sl_AU_pv_foo_3454124304_y173370688050,1
pd_sl_au_pv_1408937952129_y174297843970,1
