ref_tag,total_regs
pd_sl_MX_Brand_2938077214,317
pd_sl_MX_Brand_594484613038,45
pd_sl_MX_Generic_194425866762,18
pd_sl_MX_Brand_Phrase_1600794436691_y178941783358,15
pd_sl_MX_Generic_308974756,15
pd_sl_MX_Brand_384598718396,14
pd_sl_MX_Brand_Phrase_318314577262_y178941783598,13
pd_sl_MX_Generic_11858741384,13
pd_sl_MX_Beauty_22809386402,13
pd_sl_MX_Invoice_AMZ_2206648078318,11
pd_sl_MX_Brand_819153066861,11
pd_sl_MX_Brand_sitelink,10
pd_sl_MX_Brand_Phrase_1994871790533_y178941783358,8
pd_sl_MX_Generic_62592439924,8
pd_sl_MX_Crafts_1944125721283,8
pd_sl_MX_Food_304608505859,7
pd_sl_MX_Generic_1427251167114,7
pd_sl_MX_Apparel_12608233118,6
pd_sl_MX_Generic_AMZ_817483811750,6
pd_sl_MX_Brand_Phrase_365259777553_y178941783598,6
pd_sl_MX_Food_313886013551,6
pd_sl_MX_Generic_AMZ_641123192779,6
pd_sl_MX_Brand_1120324833096,5
pd_sl_MX_Brand_Phrase_887057749151_y178941783598,5
pd_sl_MX_Generic_27108168470,5
pd_sl_MX_Crafts_2279359428168,5
pd_sl_MX_Brand_Phrase_1600794435971_y178941783358,5
pd_sl_MX_Beauty_949556707882,4
pd_sl_MX_Apparel_4399899690,4
pd_sl_MX_Generic_1436633094951,4
pd_sl_MX_Generic_967049612098,4
pd_sl_MX_Brand_Phrase_489551735476_y178941783358,4
pd_sl_MX_Brand_Phrase_2414553700543_y178941783598,4
pd_sl_MX_Food_2279821648025,4
pd_sl_MX_Beauty_1180485947758,4
pd_sl_MX_Brand_Phrase_1600794436531_y178941783358,4
pd_sl_MX_Invoice_AMZ_1434394034768,3
pd_sl_MX_Food_946184111940,3
pd_sl_MX_Electronics_2283064088821,3
pd_sl_MX_Invoice_AMZ_363476382413,3
pd_sl_MX_Generic_297305718368,3
pd_sl_MX_Apparel_20005283264,3
pd_sl_MX_Brand_5033848589,3
pd_sl_MX_Brand_384598718836,3
pd_sl_MX_Janitorial_2278479028249,3
pd_sl_MX_Generic_330903358763,3
pd_sl_MX_Janitorial_13426383175,3
pd_sl_MX_Office_1683965031,2
pd_sl_MX_Food_2279821648225,2
pd_sl_MX_Food_296749308929,2
pd_sl_MX_Office_104298183,2
pd_sl_MX_Automotive_1435731954930,2
pd_sl_MX_Food_320212569063,2
pd_sl_MX_Food_1434354848293,2
pd_sl_MX_Generic_888870541860,2
pd_sl_MX_Generic_11975194548,2
pd_sl_MX_Apparel_320415103636,2
pd_sl_MX_Generic_917134595224,2
pd_sl_MX_Beauty_1436570062238,2
pd_sl_MX_Medical_970575915343,2
pd_sl_MX_Food_1433807596302,2
pd_sl_MX_Generic_17890581515,2
pd_sl_MX_Generic_AMZ_342241774520,2
pd_sl_MX_Janitorial_1435431445639,2
pd_sl_MX_Generic_2302719025154,2
pd_sl_MX_Generic_3068440550,2
pd_sl_MX_Brand_384598716236,2
pd_sl_MX_Brand_437560317967,2
pd_sl_MX_Brand_462230296231,2
pd_sl_MX_Brand_Phrase_1802041673_y178941783598,2
pd_sl_MX_Brand_5343911069,2
pd_sl_MX_Generic_AMZ_953035174684,1
pd_sl_MX_Generic_AMZ_2279361871848,1
pd_sl_MX_Generic_AMZ_1544384915660,1
pd_sl_MX_Generic_AMZ_924206902488,1
NA,1
pd_sl_MX_Generic_sitelink,1
pd_sl_MX_Invoice_AMZ_809831366616,1
pd_sl_MX_Office_335961162457,1
pd_sl_MX_Office_321330328495,1
pd_sl_MX_Office_296638459913,1
pd_sl_MX_Office_1164705257,1
pd_sl_MX_Janitorial_407814474420,1
pd_sl_MX_Janitorial_299961882931,1
pd_sl_MX_Janitorial_1435431453039,1
pd_sl_MX_Invoice_AMZ_Broad_sitelink,1
pd_sl_MX_Invoice_AMZ_973920664291,1
