ref_tag,category,total_regs
pd_sl_MX_Brand_2938077214,Brand,801
pd_sl_MX_Brand_594484613038,Brand,94
pd_sl_MX_Brand_Phrase_318314577262_y178941783598,Brand_Phrase,43
pd_sl_MX_Generic_194425866762,Generic,38
pd_sl_MX_Brand_Phrase_1600794436691_y178941783358,Brand_Phrase,38
pd_sl_MX_Brand_Phrase_1994871790533_y178941783358,Brand_Phrase,29
pd_sl_MX_Beauty_22809386402,Beauty,28
pd_sl_MX_Generic_62592439924,Generic,27
pd_sl_MX_Generic_308974756,Generic,27
pd_sl_MX_Generic_11858741384,Generic,21
pd_sl_MX_Brand_sitelink,Brand,21
pd_sl_MX_Brand_384598718396,Brand,20
pd_sl_MX_Brand_Phrase_2414553700543_y178941783598,Brand_Phrase,18
pd_sl_MX_Brand_819153066861,Brand,16
pd_sl_MX_Food_313886013551,Food,16
pd_sl_MX_Generic_1436633094951,Generic,15
pd_sl_MX_Crafts_1944125721283,Crafts,15
pd_sl_MX_Generic_1427251167114,Generic,15
pd_sl_MX_Brand_1365141392388,Brand,12
pd_sl_MX_Beauty_949556707882,Beauty,12
pd_sl_MX_Apparel_4399899690,Apparel,11
pd_sl_MX_Brand_Phrase_365259777553_y178941783598,Brand_Phrase,10
pd_sl_MX_Apparel_20005283264,Apparel,10
pd_sl_MX_Beauty_1180485947758,Beauty,9
pd_sl_MX_Brand_Phrase_489551735476_y178941783358,Brand_Phrase,9
pd_sl_MX_Food_304608505859,Food,8
pd_sl_MX_Apparel_12608233118,Apparel,8
pd_sl_MX_Brand_1120324833096,Brand,8
pd_sl_MX_Beauty_2278476657569,Beauty,7
pd_sl_MX_Food_1434354848293,Food,7
pd_sl_MX_Food_946184111940,Food,7
pd_sl_MX_Generic_3068440550,Generic,7
pd_sl_MX_Food_2279821648025,Food,7
pd_sl_MX_Brand_5033848589,Brand,7
pd_sl_MX_Food_420776343316,Food,6
pd_sl_MX_Brand_Phrase_1600794435971_y178941783358,Brand_Phrase,6
pd_sl_MX_Crafts_2279359428168,Crafts,6
pd_sl_MX_Brand_437560317967,Brand,6
pd_sl_MX_Generic_27108168470,Generic,6
pd_sl_MX_Food_362018033412,Food,5
pd_sl_MX_Beauty_2199444825565,Beauty,5
pd_sl_MX_Electronics_2283064088821,Electronics,5
pd_sl_MX_Generic_377748591781,Generic,5
pd_sl_MX_Brand_Phrase_1600794436531_y178941783358,Brand_Phrase,5
pd_sl_MX_Food_1433807596302,Food,5
pd_sl_MX_Brand_362734969870,Brand,5
pd_sl_MX_Brand_Phrase_887057749151_y178941783598,Brand_Phrase,5
pd_sl_MX_Generic_297305718368,Generic,4
pd_sl_MX_Brand_384598716236,Brand,4
pd_sl_MX_Food_2279821648225,Food,4
pd_sl_MX_Food_296749308929,Food,4
pd_sl_MX_Generic_330903358763,Generic,4
pd_sl_MX_Food_356696558305,Food,4
pd_sl_MX_Brand_462230296231,Brand,4
pd_sl_MX_Brand_Phrase_1802041673_y178941783598,Brand_Phrase,3
pd_sl_MX_Brand_931232704458,Brand,3
pd_sl_MX_Brand_973876761991,Brand,3
pd_sl_MX_Brand_Phrase_1597597626454_y178941783598,Brand_Phrase,3
pd_sl_MX_Brand_1365141392828,Brand,3
pd_sl_MX_Apparel_320415103636,Apparel,3
pd_sl_MX_Generic_342223855406,Generic,3
pd_sl_MX_Brand_384598718836,Brand,3
pd_sl_MX_Generic_2213550380,Generic,3
pd_sl_MX_Generic_11975194548,Generic,3
pd_sl_MX_Brand_1365141392868,Brand,3
pd_sl_MX_Beauty_1436570062238,Beauty,3
pd_sl_MX_Brand_Phrase_383030400362_y178941783598,Brand_Phrase,2
pd_sl_MX_Brand_865296889109,Brand,2
pd_sl_MX_Beauty_321836711988,Beauty,2
pd_sl_MX_Brand_885941526858,Brand,2
pd_sl_MX_Brand_343908679868,Brand,2
pd_sl_MX_Apparel_324752124659,Apparel,2
pd_sl_MX_Automotive_1435731954930,Automotive,2
pd_sl_MX_Brand_Phrase_594484594798_y178941783598,Brand_Phrase,2
pd_sl_MX_Brand_2280623220708,Brand,2
pd_sl_MX_Beauty_1453323502504,Beauty,2
pd_sl_MX_Brand_5343911069,Brand,2
pd_sl_MX_Apparel_331125322790,Apparel,2
pd_sl_MX_Generic_2302719025154,Generic,2
pd_sl_MX_Generic_10106388913,Generic,2
pd_sl_MX_Food_848448844221,Food,2
pd_sl_MX_Food_342439800879,Food,2
pd_sl_MX_Food_1783388610,Food,2
pd_sl_MX_Food_328361389133,Food,2
pd_sl_MX_Generic_17890581515,Generic,2
pd_sl_MX_Food_1464062149900,Food,2
pd_sl_MX_Food_302336814916,Food,2
pd_sl_MX_Food_394356492847,Food,2
pd_sl_MX_Food_319594657562,Food,2
pd_sl_MX_Food_320212569063,Food,2
pd_sl_MX_Beauty_43463135893,Beauty,1
pd_sl_MX_Crafts_2279847025655,Crafts,1
pd_sl_MX_Crafts_2279247871429,Crafts,1
pd_sl_MX_Crafts_1263882423727,Crafts,1
pd_sl_MX_Food_1783376910,Food,1
pd_sl_MX_Brand_sitelink_prime,Brand,1
pd_sl_MX_Food_296616976449,Food,1
pd_sl_MX_Food_298236000627,Food,1
pd_sl_MX_Brand_903790916862,Brand,1
pd_sl_MX_Food_308276942839,Food,1
pd_sl_MX_Food_353682634254,Food,1
pd_sl_MX_Brand_462230291191,Brand,1
pd_sl_MX_Food_327898456314,Food,1
pd_sl_MX_Brand_32475792196,Brand,1
pd_sl_MX_Food_345246557683,Food,1
pd_sl_MX_Crafts_357550071578,Crafts,1
pd_sl_MX_Food_355487674210,Food,1
pd_sl_MX_Beauty_978773468147,Beauty,1
pd_sl_MX_Food_363862787714,Food,1
pd_sl_MX_Beauty_862899085146,Beauty,1
pd_sl_MX_Electronics_2280235884365,Electronics,1
pd_sl_MX_Food_405640323353,Food,1
pd_sl_MX_Electronics_491727641713,Electronics,1
pd_sl_MX_Generic_406374697115,Generic,1
pd_sl_MX_Food_302336816076,Food,1
pd_sl_MX_Beauty_355415277025,Beauty,1
pd_sl_MX_Automotive_421200741080,Automotive,1
pd_sl_MX_Generic_1436633096311,Generic,1
pd_sl_MX_Apparel_47623259989,Apparel,1
pd_sl_MX_Beauty_2334024459247,Beauty,1
pd_sl_MX_Apparel_353818900211,Apparel,1
pd_sl_MX_Generic_1308146022,Generic,1
pd_sl_MX_Beauty_2334024460247,Beauty,1
pd_sl_MX_Beauty_304886763785,Beauty,1
pd_sl_MX_Crafts_373734812528,Crafts,1
pd_sl_MX_Apparel_301279658624,Apparel,1
pd_sl_MX_Apparel_298841661275,Apparel,1
pd_sl_MX_Generic_313499021228,Generic,1
pd_sl_MX_Apparel_298722302614,Apparel,1
pd_sl_MX_Apparel_298722302134,Apparel,1
pd_sl_MX_Generic_354145361947,Generic,1
pd_sl_MX_Generic_374029558037,Generic,1
pd_sl_MX_Apparel_2859186988,Apparel,1
pd_sl_MX_Generic_382135312247,Generic,1
pd_sl_MX_Generic_629780583723,Generic,1
pd_sl_MX_Beauty_313325731905,Beauty,1
pd_sl_MX_Food_404306230240,Food,1
pd_sl_MX_Generic_834738314768,Generic,1
