Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Impr.,Clicks,Cost,CTR,Impr. (Abs. Top) %,Keyword ID,Final URL,Search abs. top IS,Search lost abs. top IS (rank),Search exact match IS,Click share,Quality Score,Quality Score (hist.),Exp. CTR (hist.),Landing page exp. (hist.),Ad relevance (hist.),Base max. CPC,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[proveedores de café],Exact match,MX - Food,Food_Suppliers_Exact,Limited,below first page bid,USD,0.44,14,2,4.77,14.29%,50.00%,298236000627,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_298236000627,13.73%,86.27%,27.45%,11.51%,3,3,Average,Below average,Below average,0.44,0.00%,0.00,2.39,0.00
Enabled,[café a granel],Exact match,MX - Food,Food_Bulk_Exact,Limited,below first page bid,USD,1.16,2,2,3.26,100.00%,100.00%,449772810476,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_449772810476,15.38%,84.62%,15.38%,24.15%,3,3,Average,Below average,Below average,1.16,0.00%,0.00,1.63,0.00
Enabled,"""proveedores de cristalería""",Phrase match,MX - Food,Cultlery_Suppliers_Phrase,Limited,below first page bid,USD,1.32,884,123,207.41,13.91%,79.87%,946184111940,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_946184111940,27.14%,71.70%,29.55%,32.02%, --, --, --, --, --,1.58,0.00%,0.00,1.69,0.00
Enabled,"""electrodomésticos para restaurante""",Phrase match,MX - Food,Products_Machines_Phrase,Limited,below first page bid,USD,0.51,546,39,62.53,7.14%,57.17%,1434725975909,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1434725975909,< 10%,89.44%,< 10%,17.85%, --, --, --, --, --,0.43,0.00%,0.00,1.60,0.00
Enabled,[platos al por mayor],Exact match,MX - Food,Plates_Wholesale_Exact,Limited,below first page bid,USD,0.67,8,1,0.91,12.50%,57.14%,319189091401,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_319189091401,< 10%,> 90%,10.61%,19.48%,5,5,Above average,Below average,Below average,0.64,0.00%,0.00,0.91,0.00
Enabled,"""proveedores vajillas""",Phrase match,MX - Food,Cultlery_Suppliers_Phrase,Limited,low quality,USD,0.97,415,52,65.89,12.53%,81.13%,356696558305,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_356696558305,27.11%,72.53%,46.15%,32.63%, --,1,Below average,Below average,Below average,1.16,0.00%,0.00,1.27,0.00
Enabled,"""distribuidor de dulces""",Phrase match,MX - Food,Food_Distributor_Phrase,Limited,below first page bid,USD,0.64,388,34,33.00,8.76%,67.84%,355487674210,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_355487674210,< 10%,> 90%,15.00%,11.74%, --, --, --, --, --,0.64,0.00%,0.00,0.97,0.00
Enabled,"""distribuidor de productos lácteos""",Phrase match,MX - Food,Food_Distributor_Phrase,Limited,below first page bid,USD,1.32,893,87,155.68,9.74%,58.13%,2279821648225,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_2279821648225,12.99%,85.64%,33.33%,18.18%, --, --, --, --, --,1.32,0.00%,0.00,1.79,0.00
Enabled,"""distribuidor de productos de alimentación""",Phrase match,MX - Food,Food_Distributor_Phrase,Eligible,,USD,1.90,"2,241",179,294.70,7.99%,55.36%,2279821648025,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_2279821648025,11.21%,87.45%,33.93%,21.54%, --, --, --, --, --,1.32,0.00%,0.00,1.65,0.00
Enabled,"""distribuidor bebidas""",Phrase match,MX - Food,Food_Distributor_Phrase,Limited,below first page bid,USD,1.16,61,10,14.01,16.39%,80.49%,327898456314,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_327898456314,20.25%,73.01%,< 10%,24.13%, --, --, --, --, --,0.27,0.00%,0.00,1.40,0.00
Enabled,"""distribuidor de bebidas""",Phrase match,MX - Food,Food_Distributor_Phrase,Limited,below first page bid,USD,1.10,"2,169",276,419.04,12.72%,70.77%,304608505859,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_304608505859,16.71%,81.99%,12.50%,19.52%, --, --, --, --, --,1.32,0.00%,0.00,1.52,0.00
Enabled,"""distribuidor de café""",Phrase match,MX - Food,Food_Distributor_Phrase,Limited,below first page bid,USD,0.76,51,10,7.09,19.61%,48.72%,308276942839,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_308276942839,< 10%,> 90%,< 10%,17.14%, --, --, --, --, --,0.53,0.00%,0.00,0.71,0.00
Enabled,"""mobiliario de restaurante""",Phrase match,MX - Food,Furniture_Restaurant_Phrase,Limited,below first page bid,USD,0.67,211,22,16.24,10.43%,32.70%,302336814916,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_302336814916,< 10%,> 90%, --,< 10%, --, --, --, --, --,2.01,0.00%,0.00,0.74,0.00
Enabled,"""muebles para cafetería""",Phrase match,MX - Food,Furniture_Restaurant_Phrase,Limited,below first page bid,USD,1.40,614,52,72.10,8.47%,36.81%,339241959744,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_339241959744,< 10%,> 90%, --,23.14%, --, --, --, --, --,1.40,0.00%,0.00,1.39,0.00
Enabled,"""sillas de bar""",Phrase match,MX - Food,Furniture_Restaurant_Phrase,Limited,below first page bid,USD,0.76,308,20,45.53,6.49%,72.40%,1783376910,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1783376910,14.03%,84.97%,26.09%,32.23%, --, --, --, --, --,0.76,0.00%,0.00,2.28,0.00
Enabled,"""muebles para bar""",Phrase match,MX - Food,Furniture_Restaurant_Phrase,Eligible,,USD,1.40,407,45,65.48,11.06%,54.84%,1783388610,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1783388610,< 10%,> 90%,14.29%,16.52%, --, --, --, --, --,1.40,0.00%,0.00,1.46,0.00
Enabled,"""muebles de panadería""",Phrase match,MX - Food,Furniture_Restaurant_Phrase,Limited,below first page bid,USD,0.31,136,16,25.09,11.76%,64.93%,345867465345,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_345867465345,< 10%,> 90%,17.39%,20.58%, --, --, --, --, --,0.26,0.00%,0.00,1.57,0.00
Enabled,"""mayoristas de dulces""",Phrase match,MX - Food,Food_Wholesalers_Phrase,Limited,below first page bid,USD,0.92,619,87,94.31,14.05%,69.93%,394356492847,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_394356492847,10.05%,88.34%,20.94%,13.76%, --, --, --, --, --,1.40,0.00%,0.00,1.08,0.00
Enabled,"""suministros para hostelería""",Phrase match,MX - Food,Generic_Phrase,Limited,below first page bid,USD,1.67,"1,782",74,198.57,4.15%,53.45%,342439800879,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_342439800879,< 10%,88.37%,22.73%,19.32%, --, --, --, --, --,2.01,0.00%,0.00,2.68,0.00
Enabled,"""alimentos al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,0.53,"7,037",605,1237.67,8.60%,55.96%,313886013551,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_313886013551,12.17%,86.22%,46.25%,17.17%, --, --, --, --, --,0.64,0.00%,0.00,2.05,0.00
Enabled,"""proveedores leche""",Phrase match,MX - Food,Drinks_Suppliers_Phrase,Limited,low quality,USD,2.01,106,8,13.79,7.55%,53.97%,353682634254,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_353682634254,11.64%,88.01%,58.82%,16.58%,1,1,Below average,Below average,Below average,2.01,0.00%,0.00,1.72,0.00
Enabled,"""azúcar al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,0.76,17,1,0.48,5.88%,16.67%,952391755887,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_952391755887,< 10%,> 90%,< 10%,< 10%, --, --, --, --, --,0.53,0.00%,0.00,0.48,0.00
Enabled,"""huevos al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,0.53,34,1,1.17,2.94%,23.08%,325941271176,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_325941271176,< 10%,> 90%,< 10%,< 10%, --, --, --, --, --,0.53,0.00%,0.00,1.17,0.00
Enabled,"""proveedores de licor""",Phrase match,MX - Food,Drinks_Suppliers_Phrase,Limited,below first page bid,USD,1.67,207,22,42.82,10.63%,67.15%,359555166135,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_359555166135,21.46%,77.40%,45.45%,28.74%, --, --, --, --, --,1.67,0.00%,0.00,1.95,0.00
Enabled,"""productos lácteos al por mayor""",Phrase match,MX - Food,Food_Wholesale_Phrase,Limited,below first page bid,USD,1.10,410,47,158.26,11.46%,69.90%,1433807596302,https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_1433807596302,21.50%,77.37%,44.44%,27.90%, --, --, --, --, --,2.41,0.00%,0.00,3.37,0.00
