Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
amazon business,Exact match,MX - Brand Exact,Pure_Exact,[amazon business],"11,471","27,657",2709.38
amazon business mexico,Exact match,MX - Brand Exact,Pure_Exact,[amazon business mexico],"1,121","2,587",163.24
como facturar en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",312,"1,720",989.69
mayoreo,Exact match,MX - Generic,Core_Wholesalers_Exact,[mayoreo],153,"1,473",214.93
business amazon,Exact match,MX - Brand Exact,Pure_Exact,[business amazon],151,348,25.07
amazon associates mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",137,461,408.41
amazon negocios,Exact match,MX - Brand Exact,Pure_Exact,[amazon negocios],135,309,30.95
amazon associates méxico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",120,476,338.86
amazon empresas,Exact match (close variant),MX - Generic AMZ,Generic_Purchasing_Enterprises_Exact,[compra para empresas amazon],110,287,31.53
facturacion amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturacion amazon""",108,555,430.93
escritorios para oficina,Exact match,MX - Office,Office Furniture_Exact,[escritorios para oficina],85,797,149.08
proveedores de perfumes originales,Phrase match,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",71,233,108.13
factura amazon,Exact match,MX - Invoice AMZ,Invoice_Exact,[factura amazon],65,540,248.17
silla de escritorio,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],64,692,111.44
amazon empresarial,Exact match,MX - Brand Exact,Pure_Exact,[amazon empresarial],64,148,13.68
seller central,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""seller central""",62,543,170.59
amazon factura,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""amazon factura""",60,379,242.78
alibaba mexico,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",59,"1,159",103.27
amazon dsp,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",59,426,517.07
maquillaje mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],56,277,86.94
amazon empresas,Exact match (close variant),MX - Generic AMZ,Generic_Bulk_Exact,[empresa amazon],55,97,16.23
se puede facturar en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""se puede facturar en amazon""",51,266,171.78
amazon facturacion,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""amazon facturacion""",48,288,152.27
proveedores de ropa,Exact match (close variant),MX - Apparel,Clothing_Exact,[comprar ropa al por mayor],45,272,46.51
crear cuenta amazon business,Exact match,MX - Brand Exact,Account_Exact,[crear cuenta amazon business],44,114,27.03
