Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
como pedir factura en amazon,Exact match,Added,MX - Invoice AMZ,Invoice_Phrase,"""como pedir factura en amazon""",3,37,8.11%,USD,4.47,13.41,Keyword
venta de calzado directo de fábrica,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",3,8,37.50%,USD,1.80,5.40,Keyword
regalos por mayoreo,Exact match (close variant),None,MX - Shops,Shops_Wholesales_Gifts_Exact,[venta al por mayor de regalos],1,5,20.00%,USD,0.96,0.96,Keyword
aretes al mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Accessories_Phrase,"""venta mayorista de accesorios de moda""",1,1,100.00%,USD,0.69,0.69,Keyword
repisas escritorio,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,2,50.00%,USD,2.00,2.00,Keyword
acrilicos para oficina,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,2,50.00%,USD,2.18,2.18,Keyword
sobre de plastico para documentos,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,1,100.00%,USD,2.27,2.27,Keyword
jabón para hotel al mayor,Phrase match (close variant),None,MX - Janitorial,Soap_Wholesale_Phrase,"""jabón mayorista""",1,4,25.00%,USD,1.44,1.44,Keyword
detergente industrial,Phrase match (close variant),None,MX - Janitorial,Suppliers_Phrase,"""proveedores de material de limpieza""",1,1,100.00%,USD,0.83,0.83,Keyword
proveedores de productos de limpieza mayoreo,Exact match (close variant),None,MX - Janitorial,Wholesales_Phrase,"""venta al por mayor de artículos de limpieza""",1,3,33.33%,USD,2.25,2.25,Keyword
distribuidora de papel higiénico por mayor,Phrase match (close variant),None,MX - Janitorial,Paper_Wholesale_Phrase,"""mayorista de productos de papel""",1,5,20.00%,USD,5.38,5.38,Keyword
sudaderas a mayoreo,Exact match (close variant),None,MX - Apparel,Tops_Wholesales_Exact,[comprar sudaderas al por mayor],2,5,40.00%,USD,3.40,6.80,Keyword
venta de ropa moderna por mayoreo,Phrase match,None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,1,100.00%,USD,0.80,0.80,Keyword
perfumes árabes mayoreo,Phrase match (close variant),None,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",1,7,14.29%,USD,1.46,1.46,Keyword
perfumes arabes al mayoreo,Phrase match (close variant),None,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",1,2,50.00%,USD,1.74,1.74,Keyword
tony moly mayoreo,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,1,100.00%,USD,1.69,1.69,Keyword
armaf mayoreo,Phrase match (close variant),None,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",1,2,50.00%,USD,2.18,2.18,Keyword
escritorio industrial a medida,Phrase match (close variant),None,MX - Industrial,Furniture_Phrase,"""muebles industriales""",1,1,100.00%,USD,3.43,3.43,Keyword
vasos para niños mayoreo,Phrase match (close variant),None,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",1,2,50.00%,USD,3.20,3.20,Keyword
cerveza por mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,30,6.67%,USD,1.44,2.87,Keyword
venta de cafe por mayoreo,Phrase match (close variant),None,MX - Food,Food_Suppliers_Phrase,"""proveedores de café""",1,2,50.00%,USD,2.33,2.33,Keyword
venta de azúcar por mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,2,50.00%,USD,1.38,1.38,Keyword
vaso tequilero mayoreo,Phrase match (close variant),None,MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",3,6,50.00%,USD,1.88,5.65,Keyword
espuma para autolavado,Phrase match (close variant),None,MX - Automotive,Cleaning_Phrase,"""artículos de limpieza para autos""",1,1,100.00%,USD,1.28,1.28,Keyword
vasos de vidrio mayoreo,Phrase match (close variant),None,MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",8,20,40.00%,USD,1.57,12.54,Keyword
máquinas de café para negocio pequeño,Phrase match (close variant),None,MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",2,7,28.57%,USD,1.52,3.03,Keyword
venta de mobiliario para restaurante,Exact match (close variant),None,MX - Food,Furniture_Restaurant_Exact,[mobiliario de restaurante],1,3,33.33%,USD,1.61,1.61,Keyword
lucky gummys mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",1,19,5.26%,USD,1.09,1.09,Keyword
abasteo mx,Phrase match (close variant),None,MX - Generic,Purchasing_Enterprises_Phrase,"""compra para empresa""",1,15,6.67%,USD,1.68,1.68,Keyword
botella pet 500 ml mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.23,1.23,Keyword
club de mayoreo monterrey,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,2,50.00%,USD,1.17,1.17,Keyword
regalos empresariales,Phrase match (close variant),None,MX - Generic,Core_Enterprises_Products_Phrase,"""productos para empresas""",1,15,6.67%,USD,2.80,2.80,Keyword
equipos de comercio,Exact match (close variant),None,MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",1,1,100.00%,USD,1.84,1.84,Keyword
llantas por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""comercio al por mayor""",2,3,66.67%,USD,1.28,2.55,Keyword
abasteo cdmx,Phrase match (close variant),None,MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",1,13,7.69%,USD,2.71,2.71,Keyword
mayoreo productos coreanos,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",1,3,33.33%,USD,3.12,3.12,Keyword
fundas de celulares por mayor,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,2,50.00%,USD,3.08,3.08,Keyword
bocinas por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.78,1.78,Keyword
tiendas de mayoreo en monterrey,Phrase match (close variant),None,MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",1,2,50.00%,USD,2.12,2.12,Keyword
owala mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,4,75.00%,USD,2.73,8.19,Keyword
descargar factura amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""como sacar factura en amazon""",1,4,25.00%,USD,8.91,8.91,Keyword
office depot mexico,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,41,4.88%,USD,1.87,3.74,Keyword
office depot juarez,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,1,100.00%,USD,1.83,1.83,Keyword
silla ejecutiva stc 4tune negro,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,2,50.00%,USD,0.90,0.90,Keyword
precio papel bond tamaño carta,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,2,50.00%,USD,1.26,1.26,Keyword
tony papelerias,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,74,2.70%,USD,1.68,3.36,Keyword
escritorio para oficina,Exact match,Added,MX - Office,Office Furniture_Exact,[escritorio para oficina],3,33,9.09%,USD,2.31,6.93,Keyword
tenis para revender,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",1,3,33.33%,USD,0.49,0.49,Keyword
tenis de importacion al mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Clothing_Phrase,"""zapatos en venta al por mayor""",1,2,50.00%,USD,1.77,1.77,Keyword
compra de juguetes por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Toys Shop_Phrase,"""distribuidores de juguetes""",1,2,50.00%,USD,1.16,1.16,Keyword
