Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
amazon business account requirements,Exact match (close variant),None,AU_Brand_Exact,Navigation_Exact,[how to set up a business amazon account],1,2,50.00%,USD,20.00,20.00,0.00%,0.00,0.00
what is amazon business prime duo,Exact match (close variant),None,AU_Brand_Exact,Prime_Exact,[business prime duo],1,3,33.33%,USD,12.36,12.36,0.00%,0.00,0.00
bulk white t shirts,Phrase match (close variant),None,AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,"""shirts distributors""",2,4,50.00%,USD,2.23,4.45,0.00%,0.00,0.00
bulk plain tshirts,Phrase match (close variant),None,AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,"""t-shirts distributors""",1,1,100.00%,USD,3.88,3.88,0.00%,0.00,0.00
t shirt manufacturers australia,Phrase match (close variant),None,AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,"""t-shirts suppliers""",1,3,33.33%,USD,7.13,7.13,0.00%,0.00,0.00
cheap chocolate bulk,Phrase match (close variant),None,AU_Generic_P-V_Food,Sweets_Bulk_Phrase,"""buy bulk sweets""",1,2,50.00%,USD,2.69,2.69,0.00%,0.00,0.00
bulk ice tea,Phrase match (close variant),None,AU_Generic_P-V_Food,Food_Bulk_Phrase,"""bulk drinks""",1,1,100.00%,USD,2.78,2.78,0.00%,0.00,0.00
cheap bulk chocolate australia,Phrase match,None,AU_Generic_P-V_Food,Food_Bulk_Phrase,"""bulk chocolate""",4,33,12.12%,USD,3.61,14.45,0.00%,0.00,0.00
wholesale glass storage,Exact match (close variant),None,AU_Generic_P-V_Food,Plates_Bulk_Phrase,"""jars bulk""",1,1,100.00%,USD,6.91,6.91,0.00%,0.00,0.00
dry fruits online wholesale,Phrase match (close variant),None,AU_Generic_P-V_Food,Food_Bulk_Phrase,"""bulk fruit""",1,1,100.00%,USD,9.95,9.95,0.00%,0.00,0.00
candle making jars wholesale,Phrase match,None,AU_Generic_P-V_Food,Plates_Wholesale_Phrase,"""jars wholesale""",1,2,50.00%,USD,3.58,3.58,0.00%,0.00,0.00
restaurant cutlery wholesale,Phrase match (close variant),None,AU_Generic_P-V_Food,Cultlery_Bulk_Phrase,"""bulk cutlery sets""",1,2,50.00%,USD,2.54,2.54,0.00%,0.00,0.00
bulk foods australia,Phrase match,None,AU_Generic_P-V_Food,Food_Bulk_Phrase,"""bulk foods""",1,1,100.00%,USD,1.36,1.36,0.00%,0.00,0.00
wholesale rice suppliers australia,Phrase match (close variant),None,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,"""foods wholesalers""",1,1,100.00%,USD,2.96,2.96,0.00%,0.00,0.00
bulk canned tomatoes,Phrase match (close variant),None,AU_Generic_P-V_Food,Food_Bulk_Phrase,"""bulk canned food""",2,5,40.00%,USD,5.82,11.64,0.00%,0.00,0.00
wholesale office suppliers,Phrase match (close variant),None,AU_Generic_P-V_Shops,Bulk_Phrase,"""bulk for shop""",1,1,100.00%,USD,7.20,7.20,0.00%,0.00,0.00
bulk toy soldiers,Phrase match (close variant),None,AU_Generic_P-V_Shops,Toys Shop_Distributors_Phrase,"""distributors toy""",1,2,50.00%,USD,4.97,4.97,0.00%,0.00,0.00
buy washing powder in bulk,Phrase match (close variant),None,AU_Generic_P-V_Janitorial,Industrial-Chemicals_Bulk_Phrase,"""bulk laundry supplies""",1,1,100.00%,USD,4.05,4.05,0.00%,0.00,0.00
cleaning chemicals brisbane,Phrase match (close variant),None,AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,"""industrial cleaning products""",1,2,50.00%,USD,8.54,8.54,0.00%,0.00,0.00
amazon online business,Exact match (close variant),None,AU_Brand_Phrase,Account_ Phrase,"""amazon company account""",2,2,100.00%,USD,8.77,17.54,0.00%,0.00,0.00
wholesale sheets,Phrase match (close variant),None,AU_Generic_P-V_Hospitality,Products_Wholesale_Phrase,"""wholesale bedding""",1,2,50.00%,USD,4.11,4.11,0.00%,0.00,0.00
bulk mini shower gel,Phrase match (close variant),None,AU_Generic_P-V_Beauty,Skin-Care_Bulk_Phrase,"""bulk skin care products""",1,1,100.00%,USD,3.91,3.91,0.00%,0.00,0.00
where to buy items for resale,Phrase match (close variant),None,AU_Generic,Bulk_Buy_Phrase,"""buy bulk""",1,1,100.00%,USD,4.16,4.16,0.00%,0.00,0.00
wholesale packing cubes,Phrase match (close variant),None,AU_Generic,Bulk_Products_Phrase,"""bulk products""",1,1,100.00%,USD,8.24,8.24,0.00%,0.00,0.00
