Keyword status	Keyword	Match type	Campaign	Ad group	Status	Impr.	Clicks	Cost	Final URL
Enabled	"""distribuidores material educativo"""	Phrase match	MX - Office	Educational Supplies_Distributors_Phrase	Eligible	99	8	15.1	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_1436100461183
Enabled	"""distribuidores de etiquetas"""	Phrase match	MX - Office	Office Supplies_Distributors_Phrase	Eligible	402	25	72.89	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_330521772850
Enabled	[separadores de oficina]	Exact match	MX - Office	Office Furniture_Exact	Eligible	10	1	2.03	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_300559021646
Enabled	[sillas de oficina]	Exact match	MX - Office	Furniture_Exact	Eligible	477	40	67.03	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_104411163
Enabled	"""distribuidores de cinta"""	Phrase match	MX - Office	Tape_Distributors_Phrase	Eligible	107	8	20.64	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_885540086532
Enabled	[mobiliario de oficina]	Exact match	MX - Office	Furniture_Exact	Eligible	71	5	11.22	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_104298183
Enabled	[trituradora de documentos]	Exact match	MX - Product AMZ	Office_Office Organization_Distributors_Exact	Eligible	545	32	63.25	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Product_AMZ_309618201808
Enabled	[muebles de oficina]	Exact match	MX - Office	Furniture_Exact	Eligible	111	20	28.74	https://business.amazon.com.mx/es/cp/office-supplies?ref=pd_sl_MX_Office_14440181
Enabled	"""proveedor de guantes de nitrilo"""	Phrase match	MX - Medical	Gloves_Suppliers_Phrase	Limited	387	26	53.33	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Medical_808044523667
Enabled	[factura amazon]	Exact match	MX - Invoice AMZ	Invoice_Exact	Limited	"1,341"	173	798.15	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_363253437100
Enabled	"""como facturar amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	130	20	101.86	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195843880
Enabled	"""facturacion amazon mexico"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	109	22	79.92	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2266250318346
Enabled	[facturación amazon]	Exact match	MX - Invoice AMZ	Invoice_Exact	Eligible	217	37	167.88	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_924896614464
Enabled	"""como solicitar factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	146	26	115.25	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2267602131570
Enabled	"""facturas amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	138	15	44.89	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_973920664291
Enabled	"""como sacar factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	168	25	143.82	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844840
Enabled	"""merch by amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	249	18	66.38	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_340764820204
Enabled	"""como solicitar una factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	21	1	1.89	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195843920
Enabled	"""como puedo facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	172	31	130.02	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844680
Enabled	"""como facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	"4,816"	835	3781.67	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2206648078318
Enabled	"""factura de amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	144	34	252.16	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844360
Enabled	"""amazon facturacion"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	289	48	152.27	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195843720
Enabled	"""amazon com mx factura"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	61	9	25.7	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195845800
Enabled	"""como pedir factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	159	13	45.21	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2288447352194
Enabled	"""puedo facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	101	13	69.73	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844400
Enabled	"""como facturar una tarjeta de regalo de amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	97	9	50.72	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195845560
Enabled	"""facturar amazon mexico"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	543	90	427.02	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2013000219741
Enabled	"""seller central"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	971	105	309.61	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_557918251
Enabled	"""amazon mexico factura"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	157	20	98.2	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844440
Enabled	"""se puede facturar en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	277	54	188.93	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2267717899885
Enabled	"""facturar amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	360	43	199.13	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_1434394034768
Enabled	"""facturacion amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	626	116	475.64	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_809831366616
Enabled	"""como facturar mis compras en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	176	26	128.55	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195844600
Enabled	"""como facturar en amazon mexico"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	272	51	192.52	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2267599763010
Enabled	"""factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	193	20	85.89	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_1212993850476
Enabled	"""amazon facturas"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	41	1	4.53	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_363476382453
Enabled	"""como facturar de amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	14	3	22.66	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195845640
Enabled	"""facturar compras amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	13	1	3.32	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2013000219781
Enabled	"""cómo pedir factura en amazon a nombre de empresa"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Eligible	24	1	1.72	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2405195845400
Enabled	"""pedir factura en amazon"""	Phrase match	MX - Invoice AMZ	Invoice_Phrase	Limited	387	43	187.36	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_363759103099
Enabled	"""proveedor médico"""	Phrase match	MX - Medical	Suppliers_Phrase	Limited	"1,861"	120	356.98	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Medical_970575915343
Enabled	"""compras para empresas"""	Phrase match	MX - Generic	Enterprises_Purchasing_Phrase	Limited	"1,094"	107	389.33	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_377748591781
Enabled	"""equipo para empresas"""	Phrase match	MX - Generic	Enterprises_Products_Phrase	Limited	144	5	52.55	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_369404521423
Enabled	"""catálogo al por mayor"""	Phrase match	MX - Generic	Catalog_Products_Phrase	Limited	79	6	16.76	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_194416840842
Enabled	"""equipamiento comercial"""	Phrase match	MX - Generic	Enterprises_Products_Phrase	Limited	"2,190"	191	416.26	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_17890581515
Enabled	"""amazon business cuenta"""	Phrase match	MX - Brand Phrase	Account_Phrase	Eligible	493	76	232.89	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_Phrase_489551735476_y178941783358
Enabled	"""cuenta amazon business"""	Phrase match	MX - Brand Phrase	Account_Phrase	Eligible	"3,125"	572	1482.33	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_Phrase_1994871790533_y178941783358
Enabled	"""crear una cuenta business en amazon"""	Phrase match	MX - Brand Phrase	Account_Phrase	Eligible	184	37	131.18	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_Phrase_1600794435971_y178941783358
Enabled	"""cuenta de empresa en amazon"""	Phrase match	MX - Brand Phrase	Account_Phrase	Eligible	"5,098"	888	2405.65	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_Phrase_1600794436691_y178941783358
Enabled	"""cuenta de empresa de amazon"""	Phrase match	MX - Brand Phrase	Account_Phrase	Eligible	"1,137"	146	591.56	https://www.amazon.com.mx/business/register/org/landing?ref_=pd_sl_MX_Brand_Phrase_1600794436531_y178941783358
Enabled	[descargar factura de amazon]	Exact match	MX - Invoice AMZ	Invoicing_Exact	Limited	2	1	3.03	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_937496109534
Enabled	[factura pedidos amazon]	Exact match	MX - Invoice AMZ	Invoicing_Exact	Eligible	38	9	60.95	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_2269388561739
Enabled	[pedir factura amazon]	Exact match	MX - Invoice AMZ	Invoicing_Exact	Limited	184	29	119.56	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Invoice_AMZ_789345109176
